rq,type,区县,市,sum
20210401,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,22483572
20210402,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,22573402
20210403,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,22212902
20210404,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,22024106
20210405,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,22068349
20210406,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,21955419
20210407,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,22417177
20210408,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,21729532
20210409,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,21369292
20210410,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,21612729
20210411,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,21788685
20210412,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,22142165
20210413,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,22640281
20210414,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,22631902
20210415,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,22456862
20210416,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,22285742
20210417,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,21977472
20210418,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,21709222
20210419,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,22021122
20210420,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,21965945
20210421,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,22433322
20210422,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,22553950
20210423,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,22963100
20210424,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,22288415
20210425,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,22154570
20210426,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,22380302
20210427,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,22898922
20210428,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,22854352
20210429,区级数据,浙江杭州电力客户服务中心,国网浙江省电力有限公司杭州供电公司,22817852
