rq,type,区县,市,sum
20210401,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,39079687
20210402,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,43188360
20210403,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,44591039
20210404,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,41586654
20210405,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,43931795
20210406,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,44045261
20210407,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,44686437
20210408,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,8521035
20210409,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,9674478
20210410,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,27574817
20210411,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,10289757
20210412,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,10189970
20210413,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,10150518
20210414,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,8974276
20210415,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,9345572
20210416,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,8413624
20210417,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,8890497
20210418,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,8719086
20210419,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,45579382
20210420,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,46482142
20210421,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,45789364
20210422,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,40902922
20210423,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,44362716
20210424,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,42531404
20210425,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,40107764
20210426,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,42840227
20210427,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,41874103
20210428,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,42183405
20210429,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,39987378
20210430,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,31067769
20210501,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,17268869
20210502,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,19419894
20210503,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,26193187
20210504,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,31724265
20210505,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,31944770
20210506,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,31940632
20210507,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,30884525
20210508,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,10491197
20210509,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,28146401
20210510,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,31327107
20210511,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,32040125
20210512,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,31241346
20210513,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,32557171
20210514,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,11103010
20210515,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,30645338
20210516,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,32176489
20210517,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,11084440
20210518,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,44912336
20210519,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,41566441
20210520,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,43682773
20210521,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,45691742
20210522,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,42609240
20210523,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,37667635
20210524,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,39717926
20210525,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,37197293
20210526,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,39546355
20210527,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,40878818
20210528,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,41875523
20210529,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,42008793
20210530,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,35687552
20210531,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,37824601
20210601,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,31031072
20210602,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,38790860
20210603,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,41527433
20210604,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,35677385
20210605,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,33948968
20210606,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,31210112
20210607,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,36559054
20210608,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,37623016
20210609,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,41780815
20210610,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,45323904
20210611,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,46583655
20210612,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,46758858
20210613,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,41029945
20210614,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,38993646
20210615,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,47537059
20210616,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,47067839
20210617,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,47884097
20210618,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,48547621
20210619,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,42722313
20210620,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,35834757
20210621,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,34888097
20210622,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,36799080
20210623,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,37991851
20210624,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,41414539
20210625,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,44884146
20210626,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,44141837
20210627,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,43245085
20210628,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,43579223
20210629,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,41447334
20210630,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,35827923
20210701,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,32346984
20210702,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,40740565
20210703,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,41444990
20210704,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,41068831
20210705,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,45219679
20210706,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,49267367
20210707,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,50240603
20210708,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,50579536
20210709,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,50070781
20210710,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,52027943
20210711,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,47426873
20210712,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,51914477
20210713,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,51329944
20210714,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,51620112
20210715,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,51180184
20210716,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,52882220
20210717,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,52426235
20210718,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,43644976
20210719,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,41470876
20210720,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,39747088
20210721,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,39541803
20210722,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,38380346
20210723,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,40787112
20210724,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,48727799
20210725,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,22414349
20210726,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,29670666
20210727,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,32946178
20210728,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,32413610
20210729,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,34711047
20210730,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,34597373
20210731,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,45834702
20210801,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,37156412
20210802,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,46174341
20210803,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,48588160
20210804,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,48675402
20210805,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,44909367
20210806,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,45246939
20210807,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,42047421
20210808,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,42027257
20210809,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,49784679
20210810,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,49501620
20210811,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,47192922
20210812,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,46208467
20210813,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,42614500
20210814,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,38281195
20210815,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,36005099
20210816,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,39324636
20210817,区级数据,浙江温州电业局客服中心,国网浙江省电力有限公司温州供电公司,36946618
