rq,type,区县,市,sum
20210401,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,44915834
20210402,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,40302564
20210403,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,38116491
20210404,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,38186499
20210405,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,38415433
20210406,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,39481744
20210407,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,39167256
20210408,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,17539165
20210409,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,51292893
20210410,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,53074433
20210411,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,51808052
20210412,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,52125130
20210413,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,51718017
20210414,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,51380859
20210415,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,52202152
20210416,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,17529034
20210417,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,17428938
20210418,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,51828673
20210419,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,51536476
20210420,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,50459243
20210421,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,53442905
20210422,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,49519658
20210423,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,49690453
20210424,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,49280822
20210425,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,47633219
20210426,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,50503570
20210427,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,49250767
20210428,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,48990304
20210429,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,47582516
20210430,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,39603780
20210501,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,31967491
20210502,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,33449004
20210503,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,38878344
20210504,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,43679896
20210505,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,39705632
20210506,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,38681629
20210507,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,39469159
20210508,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,39476218
20210509,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,39682291
20210510,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,48256209
20210511,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,43850600
20210512,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,49235641
20210513,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,59239314
20210514,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,54790409
20210515,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,41721392
20210516,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,62313959
20210517,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,59024188
20210518,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,61001948
20210519,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,60280917
20210520,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,58802541
20210521,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,53587979
20210522,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,47862972
20210523,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,43739461
20210524,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,46590665
20210525,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,44220173
20210526,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,53868048
20210527,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,53497294
20210528,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,54833063
20210529,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,53570202
20210530,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,54025810
20210531,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,55451821
20210601,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,45259281
20210602,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,46495672
20210603,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,49702647
20210604,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,49305676
20210605,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,45077858
20210606,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,40882009
20210607,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,42754200
20210608,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,54582975
20210609,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,57164149
20210610,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,58919447
20210611,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,56069809
20210612,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,51903976
20210613,区级数据,浙江舟山电力局客服中心,国网浙江省电力有限公司舟山供电公司,48312403
