rq,type,区县,市,sum
20210401,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21529564
20210402,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21853178
20210403,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21482746
20210404,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21754445
20210405,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21885664
20210406,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21872568
20210407,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21906168
20210408,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21689445
20210409,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20377760
20210410,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20292355
20210411,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19981547
20210412,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19505770
20210413,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20060326
20210414,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20633190
20210415,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20287930
20210416,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20540895
20210417,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20651484
20210418,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20108577
20210419,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19805084
20210420,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19670810
20210421,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19217701
20210422,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20643884
20210423,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20630747
20210424,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20377487
20210425,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20576448
20210426,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20646896
20210427,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20506050
20210428,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21045575
20210429,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20878396
20210430,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20864236
20210501,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20509119
20210502,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20175055
20210503,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19939027
20210504,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20373314
20210505,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20175798
20210506,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19378251
20210507,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19443579
20210508,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20181816
20210509,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20445698
20210510,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20306319
20210511,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20504882
20210512,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20536801
20210513,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19967594
20210514,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20272194
20210515,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20553537
20210516,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20297272
20210517,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19709423
20210518,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19046794
20210519,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20364958
20210520,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21392452
20210521,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21398661
20210522,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21492970
20210523,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21269932
20210524,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20978282
20210525,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21115554
20210526,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19747130
20210527,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,18033112
20210528,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19693132
20210529,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19412806
20210530,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20019641
20210531,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19979119
20210601,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19924675
20210602,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19866118
20210603,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20185535
20210604,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19637815
20210605,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19045136
20210606,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19485341
20210607,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19798546
20210608,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20126290
20210609,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20066750
20210610,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20134000
20210611,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20528212
20210612,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20395278
20210613,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20405568
20210614,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20744714
20210615,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20644440
20210616,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20282680
20210617,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20335219
20210618,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20452157
20210619,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20379044
20210620,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19976883
20210621,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20068008
20210622,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20177370
20210623,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19970035
20210624,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19924096
20210625,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19781045
20210626,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20166700
20210627,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20122548
20210628,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19982162
20210629,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,19994878
20210630,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20316091
20210701,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20105717
20210702,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20050918
20210703,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20304218
20210704,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20394961
20210705,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20773655
20210706,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,20985439
20210707,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21555049
20210708,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21630496
20210709,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,22049013
20210710,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,22130040
20210711,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21870892
20210712,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21891248
20210713,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21700658
20210714,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21386632
20210715,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21501481
20210716,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21557440
20210717,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21364650
20210718,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21571943
20210719,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21589778
20210720,区级数据,浙江衢州电力客户服务中心,国网浙江省电力有限公司衢州供电公司,21422669
