rq,type,区县,市,sum
20210401,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,18935651
20210402,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,19650954
20210403,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,18295502
20210404,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,11640378
20210405,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,17506781
20210406,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,19578250
20210407,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,19763170
20210408,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,20499207
20210409,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,19953269
20210410,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,19904404
20210411,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,19380771
20210412,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,19907927
20210413,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,20180418
20210414,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,20577900
20210415,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,20279888
20210416,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,19372307
20210417,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,19396025
20210418,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,17471372
20210419,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,19162763
20210420,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,19597893
20210421,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,19502257
20210422,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,19869164
20210423,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,19933069
20210424,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,19873137
20210425,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,18998988
20210426,区级数据,国网浙江乐清市供电有限公司,国网浙江省电力有限公司温州供电公司,19534951
