rq,type,区县,市,sum
20210401,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1407102
20210402,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1401162
20210403,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1402423
20210404,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1325354
20210405,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1375460
20210406,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1447355
20210407,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1466433
20210408,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1552975
20210409,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1500855
20210410,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1487472
20210411,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1503341
20210412,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1505398
20210413,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1507596
20210414,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1533677
20210415,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1532085
20210416,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1451147
20210417,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1478989
20210418,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1464200
20210419,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1489233
20210420,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1447899
20210421,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1456166
20210422,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1432934
20210423,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1468147
20210424,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1453495
20210425,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1456589
20210426,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1456910
20210427,区级数据,国网浙江省电力有限公司文成县供电公司,国网浙江省电力有限公司温州供电公司,1502961
