rq,type,区县,市,sum
20210401,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,7885502
20210402,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9111831
20210403,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9037648
20210404,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,7203872
20210405,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9002762
20210406,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9497821
20210407,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9551737
20210408,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9802257
20210409,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9637735
20210410,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9592259
20210411,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9456401
20210412,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9578110
20210413,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9572807
20210414,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9704025
20210415,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9694533
20210416,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9363618
20210417,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9318199
20210418,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9101358
20210419,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9329735
20210420,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9359061
20210421,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9317199
20210422,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9379396
20210423,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9442228
20210424,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9422613
20210425,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9186246
20210426,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9268675
20210427,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9337603
20210428,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9353165
20210429,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9268791
20210430,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,8708270
20210501,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,5332354
20210502,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,6084580
20210503,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,8332389
20210504,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9161556
20210505,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9141197
20210506,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9158176
20210507,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9312205
20210508,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9406442
20210509,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9223545
20210510,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9652533
20210511,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9648196
20210512,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9803738
20210513,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9986321
20210514,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,10211884
20210515,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,10674644
20210516,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,10657645
20210517,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9870320
20210518,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9316872
20210519,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9257763
20210520,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9315474
20210521,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9207295
20210522,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9201297
20210523,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9131304
20210524,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9301462
20210525,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9352201
20210526,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9594481
20210527,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9650741
20210528,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9537637
20210529,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9402334
20210530,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9192573
20210531,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9033068
20210601,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,6836413
20210602,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9087777
20210603,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,10390275
20210604,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9433858
20210605,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9073532
20210606,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9015249
20210607,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9360457
20210608,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,9716218
20210609,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,10314043
20210610,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,10726407
20210611,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,10628963
20210612,区级数据,国网浙江省电力有限公司永嘉县供电公司,国网浙江省电力有限公司温州供电公司,10762378
