rq,type,区县,市,sum
20210401,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1556329
20210402,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1573530
20210403,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1570455
20210404,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1438705
20210405,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1546782
20210406,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1602282
20210407,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1615547
20210408,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1690913
20210409,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1629860
20210410,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1620638
20210411,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1553778
20210412,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1565727
20210413,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1556342
20210414,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1628768
20210415,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1621723
20210416,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1548164
20210417,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1554390
20210418,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1574684
20210419,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1590681
20210420,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1555807
20210421,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1579004
20210422,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1568906
20210423,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1554117
20210424,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1546241
20210425,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1480399
20210426,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1482483
20210427,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1546752
20210428,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1563883
20210429,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1557719
20210430,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1556507
20210501,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1370335
20210502,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1369961
20210503,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1466467
20210504,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1500136
20210505,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1375601
20210506,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1426630
20210507,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1519699
20210508,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1538546
20210509,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1523272
20210510,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1537252
20210511,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1554024
20210512,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1515815
20210513,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1528253
20210514,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1641209
20210515,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1755772
20210516,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1735061
20210517,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1634856
20210518,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1510497
20210519,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1489938
20210520,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1530552
20210521,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1472605
20210522,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1468352
20210523,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1484482
20210524,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1495245
20210525,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1508190
20210526,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1564750
20210527,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1516375
20210528,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1509709
20210529,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1491189
20210530,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1485045
20210531,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1455482
20210601,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1397810
20210602,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1514699
20210603,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1569880
20210604,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1480138
20210605,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1483859
20210606,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1472596
20210607,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1520287
20210608,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1542343
20210609,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1619711
20210610,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1617776
20210611,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1593756
20210612,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1565555
20210613,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1645869
20210614,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1601476
20210615,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1830556
20210616,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1970673
20210617,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,2092031
20210618,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,2120515
20210619,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,2034984
20210620,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1847351
20210621,区级数据,国网浙江省电力有限公司泰顺县供电公司,国网浙江省电力有限公司温州供电公司,1638831
