rq,type,区县,市,sum
20210401,区级数据,国网浙江省电力有限公司温州市洞头区供电公司,国网浙江省电力有限公司温州供电公司,1190540
20210402,区级数据,国网浙江省电力有限公司温州市洞头区供电公司,国网浙江省电力有限公司温州供电公司,1146864
20210403,区级数据,国网浙江省电力有限公司温州市洞头区供电公司,国网浙江省电力有限公司温州供电公司,1153189
20210404,区级数据,国网浙江省电力有限公司温州市洞头区供电公司,国网浙江省电力有限公司温州供电公司,1036267
20210405,区级数据,国网浙江省电力有限公司温州市洞头区供电公司,国网浙江省电力有限公司温州供电公司,1147569
20210406,区级数据,国网浙江省电力有限公司温州市洞头区供电公司,国网浙江省电力有限公司温州供电公司,1175893
20210407,区级数据,国网浙江省电力有限公司温州市洞头区供电公司,国网浙江省电力有限公司温州供电公司,1127884
20210408,区级数据,国网浙江省电力有限公司温州市洞头区供电公司,国网浙江省电力有限公司温州供电公司,1193232
20210409,区级数据,国网浙江省电力有限公司温州市洞头区供电公司,国网浙江省电力有限公司温州供电公司,1169824
20210410,区级数据,国网浙江省电力有限公司温州市洞头区供电公司,国网浙江省电力有限公司温州供电公司,1161790
20210411,区级数据,国网浙江省电力有限公司温州市洞头区供电公司,国网浙江省电力有限公司温州供电公司,1092733
20210412,区级数据,国网浙江省电力有限公司温州市洞头区供电公司,国网浙江省电力有限公司温州供电公司,1177518
20210413,区级数据,国网浙江省电力有限公司温州市洞头区供电公司,国网浙江省电力有限公司温州供电公司,1149005
20210414,区级数据,国网浙江省电力有限公司温州市洞头区供电公司,国网浙江省电力有限公司温州供电公司,1179823
20210415,区级数据,国网浙江省电力有限公司温州市洞头区供电公司,国网浙江省电力有限公司温州供电公司,1182604
20210416,区级数据,国网浙江省电力有限公司温州市洞头区供电公司,国网浙江省电力有限公司温州供电公司,1197557
20210417,区级数据,国网浙江省电力有限公司温州市洞头区供电公司,国网浙江省电力有限公司温州供电公司,1153144
20210418,区级数据,国网浙江省电力有限公司温州市洞头区供电公司,国网浙江省电力有限公司温州供电公司,655516
