rq,type,区县,市,sum
20210401,区级数据,国网浙江瑞安市供电有限责任公司,国网浙江省电力有限公司温州供电公司,23065722
20210402,区级数据,国网浙江瑞安市供电有限责任公司,国网浙江省电力有限公司温州供电公司,23404438
20210403,区级数据,国网浙江瑞安市供电有限责任公司,国网浙江省电力有限公司温州供电公司,21892052
20210404,区级数据,国网浙江瑞安市供电有限责任公司,国网浙江省电力有限公司温州供电公司,13702978
20210405,区级数据,国网浙江瑞安市供电有限责任公司,国网浙江省电力有限公司温州供电公司,20076152
20210406,区级数据,国网浙江瑞安市供电有限责任公司,国网浙江省电力有限公司温州供电公司,23502580
20210407,区级数据,国网浙江瑞安市供电有限责任公司,国网浙江省电力有限公司温州供电公司,23778099
20210408,区级数据,国网浙江瑞安市供电有限责任公司,国网浙江省电力有限公司温州供电公司,24396652
20210409,区级数据,国网浙江瑞安市供电有限责任公司,国网浙江省电力有限公司温州供电公司,24169641
20210410,区级数据,国网浙江瑞安市供电有限责任公司,国网浙江省电力有限公司温州供电公司,24180573
20210411,区级数据,国网浙江瑞安市供电有限责任公司,国网浙江省电力有限公司温州供电公司,23743392
20210412,区级数据,国网浙江瑞安市供电有限责任公司,国网浙江省电力有限公司温州供电公司,24059429
20210413,区级数据,国网浙江瑞安市供电有限责任公司,国网浙江省电力有限公司温州供电公司,24141492
20210414,区级数据,国网浙江瑞安市供电有限责任公司,国网浙江省电力有限公司温州供电公司,24390853
20210415,区级数据,国网浙江瑞安市供电有限责任公司,国网浙江省电力有限公司温州供电公司,24279340
20210416,区级数据,国网浙江瑞安市供电有限责任公司,国网浙江省电力有限公司温州供电公司,23543847
20210417,区级数据,国网浙江瑞安市供电有限责任公司,国网浙江省电力有限公司温州供电公司,23703408
20210418,区级数据,国网浙江瑞安市供电有限责任公司,国网浙江省电力有限公司温州供电公司,22485318
20210419,区级数据,国网浙江瑞安市供电有限责任公司,国网浙江省电力有限公司温州供电公司,23676737
20210420,区级数据,国网浙江瑞安市供电有限责任公司,国网浙江省电力有限公司温州供电公司,23813282
