rq,type,区县,市,sum
20210401,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,9678216
20210402,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11018877
20210403,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,10581372
20210404,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,8333770
20210405,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,10565097
20210406,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11331137
20210407,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11385379
20210408,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11575580
20210409,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11337728
20210410,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11205376
20210411,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,10908709
20210412,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11249970
20210413,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11205464
20210414,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11360722
20210415,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11323642
20210416,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,10892038
20210417,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,10982607
20210418,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,10466208
20210419,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,10986010
20210420,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11052099
20210421,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11025192
20210422,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11109933
20210423,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11200968
20210424,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11069326
20210425,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,10675457
20210426,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,10948530
20210427,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11063243
20210428,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11121249
20210429,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11054919
20210430,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,10488792
20210501,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,6505210
20210502,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,7342241
20210503,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,9832310
20210504,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,10949326
20210505,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,10960593
20210506,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11129945
20210507,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11429612
20210508,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11643783
20210509,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11506201
20210510,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,12321408
20210511,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,12516104
20210512,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,12765804
20210513,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,13098409
20210514,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,13482008
20210515,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,13991084
20210516,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,13769019
20210517,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,12606642
20210518,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11585024
20210519,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11516510
20210520,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11814473
20210521,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11523603
20210522,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11384212
20210523,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11096184
20210524,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11513398
20210525,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11644910
20210526,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,12406226
20210527,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,12620709
20210528,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,12399101
20210529,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11866033
20210530,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11517613
20210531,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11794887
20210601,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,8945063
20210602,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,12131909
20210603,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,14104789
20210604,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,12227422
20210605,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11603263
20210606,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11547256
20210607,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,12225822
20210608,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,12867495
20210609,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,13891404
20210610,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,14471564
20210611,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,14380619
20210612,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,14453659
20210613,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,14128407
20210614,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,11250658
20210615,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,15952115
20210616,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,17693818
20210617,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,17548654
20210618,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,17586326
20210619,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,16090014
20210620,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,13587397
20210621,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,12618386
20210622,区级数据,国网温州供电公司瓯海供电分公司,国网浙江省电力有限公司温州供电公司,12438251
