rq,type,区县,市,sum
20210401,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10506555
20210402,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10594618
20210403,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,9796623
20210404,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,6541005
20210405,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,8768466
20210406,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10160013
20210407,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10489322
20210408,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10724334
20210409,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10765485
20210410,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10688477
20210411,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10634907
20210412,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10585062
20210413,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10702521
20210414,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10792680
20210415,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10714620
20210416,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10669200
20210417,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10561020
20210418,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10510794
20210419,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10525586
20210420,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10505430
20210421,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10442550
20210422,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10539760
20210423,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10547856
20210424,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10497268
20210425,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10423334
20210426,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10493157
20210427,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10529484
20210428,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10598500
20210429,区级数据,国网浙江苍南县供电有限责任公司,国网浙江省电力有限公司温州供电公司,10518239
