rq,type,区县,市,sum
20210401,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,10471816
20210402,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,11477971
20210403,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,11216743
20210404,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,9520651
20210405,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,11077862
20210406,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,11453144
20210407,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,11510955
20210408,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,11743700
20210409,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,11589344
20210410,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,11396412
20210411,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,11316671
20210412,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,11517453
20210413,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,11482494
20210414,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,11624004
20210415,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,11630982
20210416,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,11150381
20210417,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,11112050
20210418,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,10797698
20210419,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,11085958
20210420,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,11054415
20210421,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,11016059
20210422,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,11106314
20210423,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,11205091
20210424,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,10938387
20210425,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,10883357
20210426,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,10838574
20210427,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,10797438
20210428,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,10962585
20210429,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,10935389
20210430,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,10758503
20210501,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,8218804
20210502,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,8653717
20210503,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,10046599
20210504,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,10786529
20210505,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,10671149
20210506,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,10791638
20210507,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,11093116
20210508,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,11270724
20210509,区级数据,国网温州供电公司鹿城供电分公司,国网浙江省电力有限公司温州供电公司,11213924
