rq,type,区县,市,sum
20210401,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7668290
20210402,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7844026
20210403,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7293299
20210404,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,4641643
20210405,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,6666562
20210406,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7580391
20210407,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7789677
20210408,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7909565
20210409,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7962166
20210410,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7909254
20210411,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7725314
20210412,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7748940
20210413,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7814327
20210414,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7842773
20210415,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7843145
20210416,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7845124
20210417,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7823513
20210418,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7627421
20210419,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7676352
20210420,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7682763
20210421,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7631879
20210422,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7656455
20210423,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7712519
20210424,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7695480
20210425,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7536081
20210426,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7604958
20210427,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7692735
20210428,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7687986
20210429,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7708619
20210430,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7244529
20210501,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,4202109
20210502,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,5154979
20210503,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,6552732
20210504,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7360207
20210505,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7480704
20210506,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7505028
20210507,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7634655
20210508,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7671624
20210509,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7643096
20210510,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7863414
20210511,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,8001815
20210512,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7943266
20210513,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,8080923
20210514,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,8253012
20210515,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,8569368
20210516,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,8727049
20210517,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7887424
20210518,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7516391
20210519,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7485190
20210520,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7644698
20210521,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7554612
20210522,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7559738
20210523,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7492931
20210524,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7540946
20210525,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7530182
20210526,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7806063
20210527,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7787832
20210528,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7747389
20210529,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7581917
20210530,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7449467
20210531,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7492292
20210601,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7358427
20210602,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7829641
20210603,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,8628954
20210604,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7809006
20210605,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7651479
20210606,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7494315
20210607,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7749660
20210608,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,8033004
20210609,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,8360396
20210610,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,8658192
20210611,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,8774048
20210612,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,8692217
20210613,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,8288220
20210614,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,5214246
20210615,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,8031561
20210616,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9639496
20210617,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9716761
20210618,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10001889
20210619,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9312135
20210620,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,8260236
20210621,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7946283
20210622,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7906504
20210623,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,8271390
20210624,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,8354192
20210625,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,8599228
20210626,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9234480
20210627,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9196420
20210628,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9219893
20210629,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,8937367
20210630,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,8492030
20210701,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,8827207
20210702,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9599887
20210703,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9992836
20210704,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9800814
20210705,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9920556
20210706,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9820463
20210707,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10386455
20210708,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10794890
20210709,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10882042
20210710,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10465427
20210711,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10148399
20210712,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10488751
20210713,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10551128
20210714,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10495675
20210715,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10280165
20210716,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10403006
20210717,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10296692
20210718,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9921954
20210719,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10075910
20210720,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10322807
20210721,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10152860
20210722,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9667281
20210723,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9121423
20210724,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9229298
20210725,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,8970701
20210726,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9859635
20210727,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10307518
20210728,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10337775
20210729,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10220020
20210730,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10240360
20210731,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10085930
20210801,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9486015
20210802,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9861278
20210803,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9377472
20210804,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9063890
20210805,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,8934091
20210806,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,8922957
20210807,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9240327
20210808,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9456453
20210809,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9900082
20210810,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9758553
20210811,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10010110
20210812,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10120124
20210813,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9912271
20210814,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9763516
20210815,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9700893
20210816,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9795760
20210817,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9417190
20210818,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9327073
20210819,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9348849
20210820,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9898296
20210821,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9932682
20210822,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9644677
20210823,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10087326
20210824,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10495338
20210825,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10727469
20210826,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10480848
20210827,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10362510
20210828,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10402286
20210829,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10240187
20210830,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10301975
20210831,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10215884
20210901,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10185014
20210902,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10375054
20210903,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10487178
20210904,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10533783
20210905,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10391551
20210906,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10584442
20210907,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10565182
20210908,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9696278
20210909,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10076558
20210910,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10277214
20210911,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,10256435
20210912,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7698164
20210913,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,6717898
20210914,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,7626753
20210915,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,8991602
20210916,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9648164
20210917,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9668223
20210918,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9052188
20210919,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9226931
20210920,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,9368127
20210921,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,6356519
20210922,区级数据,国网浙江省电力有限公司龙港市供电公司,国网浙江省电力有限公司温州供电公司,8320701
