rq,type,区县,市,sum
20210401,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13386758
20210402,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13397369
20210403,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,12514934
20210404,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,9830100
20210405,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,12182137
20210406,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13065177
20210407,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13491664
20210408,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13543862
20210409,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13349882
20210410,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13314953
20210411,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13288340
20210412,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13431553
20210413,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13397903
20210414,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13654124
20210415,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13440271
20210416,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13446687
20210417,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13187979
20210418,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,12773431
20210419,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13064701
20210420,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13405903
20210421,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13314523
20210422,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13465672
20210423,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13625669
20210424,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13377605
20210425,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13214433
20210426,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13294511
20210427,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13788578
20210428,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13461106
20210429,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13411917
20210430,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,12805125
20210501,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,8539686
20210502,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,9401069
20210503,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,11609007
20210504,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13003005
20210505,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,12988277
20210506,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13229137
20210507,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13379175
20210508,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13649616
20210509,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13313363
20210510,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13780830
20210511,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13911271
20210512,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13788327
20210513,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13477965
20210514,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13674140
20210515,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,14046306
20210516,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13061113
20210517,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,12812475
20210518,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13175886
20210519,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13274460
20210520,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13186933
20210521,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13113088
20210522,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,12946523
20210523,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,12635956
20210524,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,12867810
20210525,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13291102
20210526,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13595493
20210527,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13435346
20210528,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13605752
20210529,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13472381
20210530,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13117773
20210531,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13330907
20210601,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13105158
20210602,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13453188
20210603,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13477752
20210604,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13184759
20210605,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13157193
20210606,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13022456
20210607,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13688335
20210608,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,14030606
20210609,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,14540260
20210610,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,14653735
20210611,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,14607987
20210612,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,14515715
20210613,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13526655
20210614,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,11252208
20210615,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13944475
20210616,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,14511428
20210617,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,14637352
20210618,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,14554503
20210619,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13551823
20210620,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,12876557
20210621,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13215785
20210622,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13595288
20210623,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13836314
20210624,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,14181762
20210625,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,14578064
20210626,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,14335096
20210627,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13862135
20210628,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,14230111
20210629,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,14310441
20210630,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,14026618
20210701,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13788415
20210702,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,14231662
20210703,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,14229532
20210704,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,13632366
20210705,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,14733897
20210706,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,15043107
20210707,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,15643320
20210708,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,15233346
20210709,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,14577690
20210710,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,14883278
20210711,区级数据,国网浙江湖州南浔供电分公司,国网浙江省电力有限公司湖州供电公司,15529099
