rq,type,区县,市,sum
20210401,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,15108125
20210402,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,15044867
20210403,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,14284594
20210404,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,12141666
20210405,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,13776277
20210406,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,14624867
20210407,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,15130238
20210408,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,15123022
20210409,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,14846409
20210410,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,14593814
20210411,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,14602017
20210412,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,15031578
20210413,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,14778670
20210414,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,15159968
20210415,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,14846596
20210416,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,14708244
20210417,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,14313041
20210418,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,13798626
20210419,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,14147461
20210420,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,14504492
20210421,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,14507901
20210422,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,14727248
20210423,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,14874844
20210424,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,14330393
20210425,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,14310552
20210426,区级数据,国网浙江湖州吴兴供电分公司,国网浙江省电力有限公司湖州供电公司,14379840
