rq,type,区县,市,sum
20210401,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,12109793
20210402,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,12196142
20210403,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11950247
20210404,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,9932497
20210405,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11128265
20210406,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11517446
20210407,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,12169903
20210408,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11978786
20210409,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11552999
20210410,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11395581
20210411,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11388063
20210412,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11525711
20210413,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11388233
20210414,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11843859
20210415,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11318013
20210416,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11090522
20210417,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10917303
20210418,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10515722
20210419,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10767023
20210420,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11038188
20210421,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10990836
20210422,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11189146
20210423,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11288265
20210424,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10900265
20210425,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10749479
20210426,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10811701
20210427,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11299030
20210428,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11023940
20210429,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10688231
20210430,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10175722
20210501,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,7141210
20210502,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,8032296
20210503,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,9681325
20210504,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10619842
20210505,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10452299
20210506,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10798232
20210507,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10895328
20210508,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10942926
20210509,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10213138
20210510,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11526788
20210511,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11570099
20210512,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11446723
20210513,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11307638
20210514,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11675853
20210515,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11958013
20210516,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10754712
20210517,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10532309
20210518,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10957249
20210519,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11132570
20210520,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11108233
20210521,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10980849
20210522,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10770500
20210523,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10357040
20210524,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10770167
20210525,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11233776
20210526,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11319364
20210527,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11271806
20210528,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11374496
20210529,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11268696
20210530,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10951343
20210531,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11407711
20210601,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11236085
20210602,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11582721
20210603,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11734435
20210604,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11042117
20210605,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11104759
20210606,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10863233
20210607,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11513115
20210608,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,12127529
20210609,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,12553513
20210610,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,12537561
20210611,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,12773954
20210612,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,12466642
20210613,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10558122
20210614,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,8716187
20210615,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,12165132
20210616,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,12898629
20210617,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,13170907
20210618,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,12597208
20210619,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11316954
20210620,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10498423
20210621,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,10953970
20210622,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11924337
20210623,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11990756
20210624,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,12442172
20210625,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,12756772
20210626,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,12619123
20210627,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,12244588
20210628,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,12819910
20210629,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,12950134
20210630,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,12807318
20210701,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,12626251
20210702,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,12550093
20210703,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,12530994
20210704,区级数据,国网浙江省电力有限公司安吉县供电公司,国网浙江省电力有限公司湖州供电公司,11704213
