rq,type,区县,市,sum
20210401,区级数据,国网浙江省电力有限公司德清县供电公司,国网浙江省电力有限公司湖州供电公司,15966189
20210402,区级数据,国网浙江省电力有限公司德清县供电公司,国网浙江省电力有限公司湖州供电公司,15850309
20210403,区级数据,国网浙江省电力有限公司德清县供电公司,国网浙江省电力有限公司湖州供电公司,14634243
20210404,区级数据,国网浙江省电力有限公司德清县供电公司,国网浙江省电力有限公司湖州供电公司,11725235
20210405,区级数据,国网浙江省电力有限公司德清县供电公司,国网浙江省电力有限公司湖州供电公司,14102849
20210406,区级数据,国网浙江省电力有限公司德清县供电公司,国网浙江省电力有限公司湖州供电公司,15697532
20210407,区级数据,国网浙江省电力有限公司德清县供电公司,国网浙江省电力有限公司湖州供电公司,16299214
20210408,区级数据,国网浙江省电力有限公司德清县供电公司,国网浙江省电力有限公司湖州供电公司,16465000
20210409,区级数据,国网浙江省电力有限公司德清县供电公司,国网浙江省电力有限公司湖州供电公司,15903657
20210410,区级数据,国网浙江省电力有限公司德清县供电公司,国网浙江省电力有限公司湖州供电公司,15879223
20210411,区级数据,国网浙江省电力有限公司德清县供电公司,国网浙江省电力有限公司湖州供电公司,15610774
20210412,区级数据,国网浙江省电力有限公司德清县供电公司,国网浙江省电力有限公司湖州供电公司,16216670
20210413,区级数据,国网浙江省电力有限公司德清县供电公司,国网浙江省电力有限公司湖州供电公司,16019417
20210414,区级数据,国网浙江省电力有限公司德清县供电公司,国网浙江省电力有限公司湖州供电公司,16325313
20210415,区级数据,国网浙江省电力有限公司德清县供电公司,国网浙江省电力有限公司湖州供电公司,16130284
20210416,区级数据,国网浙江省电力有限公司德清县供电公司,国网浙江省电力有限公司湖州供电公司,16014329
20210417,区级数据,国网浙江省电力有限公司德清县供电公司,国网浙江省电力有限公司湖州供电公司,15918558
20210418,区级数据,国网浙江省电力有限公司德清县供电公司,国网浙江省电力有限公司湖州供电公司,14237523
20210419,区级数据,国网浙江省电力有限公司德清县供电公司,国网浙江省电力有限公司湖州供电公司,15624330
20210420,区级数据,国网浙江省电力有限公司德清县供电公司,国网浙江省电力有限公司湖州供电公司,16170990
20210421,区级数据,国网浙江省电力有限公司德清县供电公司,国网浙江省电力有限公司湖州供电公司,16221709
20210422,区级数据,国网浙江省电力有限公司德清县供电公司,国网浙江省电力有限公司湖州供电公司,16486715
