rq,type,区县,市,sum
20210401,区级数据,国网浙江省电力有限公司长兴县供电公司,国网浙江省电力有限公司湖州供电公司,25866620
20210402,区级数据,国网浙江省电力有限公司长兴县供电公司,国网浙江省电力有限公司湖州供电公司,25776128
20210403,区级数据,国网浙江省电力有限公司长兴县供电公司,国网浙江省电力有限公司湖州供电公司,25003891
20210404,区级数据,国网浙江省电力有限公司长兴县供电公司,国网浙江省电力有限公司湖州供电公司,22246693
20210405,区级数据,国网浙江省电力有限公司长兴县供电公司,国网浙江省电力有限公司湖州供电公司,24007525
20210406,区级数据,国网浙江省电力有限公司长兴县供电公司,国网浙江省电力有限公司湖州供电公司,25342623
20210407,区级数据,国网浙江省电力有限公司长兴县供电公司,国网浙江省电力有限公司湖州供电公司,26227553
20210408,区级数据,国网浙江省电力有限公司长兴县供电公司,国网浙江省电力有限公司湖州供电公司,26124472
20210409,区级数据,国网浙江省电力有限公司长兴县供电公司,国网浙江省电力有限公司湖州供电公司,26111846
20210410,区级数据,国网浙江省电力有限公司长兴县供电公司,国网浙江省电力有限公司湖州供电公司,26046421
20210411,区级数据,国网浙江省电力有限公司长兴县供电公司,国网浙江省电力有限公司湖州供电公司,26283472
20210412,区级数据,国网浙江省电力有限公司长兴县供电公司,国网浙江省电力有限公司湖州供电公司,26269832
20210413,区级数据,国网浙江省电力有限公司长兴县供电公司,国网浙江省电力有限公司湖州供电公司,25766817
20210414,区级数据,国网浙江省电力有限公司长兴县供电公司,国网浙江省电力有限公司湖州供电公司,25638935
20210415,区级数据,国网浙江省电力有限公司长兴县供电公司,国网浙江省电力有限公司湖州供电公司,26016584
20210416,区级数据,国网浙江省电力有限公司长兴县供电公司,国网浙江省电力有限公司湖州供电公司,25793080
20210417,区级数据,国网浙江省电力有限公司长兴县供电公司,国网浙江省电力有限公司湖州供电公司,25463490
20210418,区级数据,国网浙江省电力有限公司长兴县供电公司,国网浙江省电力有限公司湖州供电公司,24915609
20210419,区级数据,国网浙江省电力有限公司长兴县供电公司,国网浙江省电力有限公司湖州供电公司,25666108
20210420,区级数据,国网浙江省电力有限公司长兴县供电公司,国网浙江省电力有限公司湖州供电公司,26233098
20210421,区级数据,国网浙江省电力有限公司长兴县供电公司,国网浙江省电力有限公司湖州供电公司,26378489
20210422,区级数据,国网浙江省电力有限公司长兴县供电公司,国网浙江省电力有限公司湖州供电公司,26576548
