rq,type,区县,市,sum
20210401,区级数据,国网浙江绍兴市上虞区供电公司,国网浙江省电力有限公司绍兴供电公司,18491507
20210402,区级数据,国网浙江绍兴市上虞区供电公司,国网浙江省电力有限公司绍兴供电公司,18626920
20210403,区级数据,国网浙江绍兴市上虞区供电公司,国网浙江省电力有限公司绍兴供电公司,18145043
20210404,区级数据,国网浙江绍兴市上虞区供电公司,国网浙江省电力有限公司绍兴供电公司,15589431
20210405,区级数据,国网浙江绍兴市上虞区供电公司,国网浙江省电力有限公司绍兴供电公司,17002980
20210406,区级数据,国网浙江绍兴市上虞区供电公司,国网浙江省电力有限公司绍兴供电公司,17810980
20210407,区级数据,国网浙江绍兴市上虞区供电公司,国网浙江省电力有限公司绍兴供电公司,18457599
20210408,区级数据,国网浙江绍兴市上虞区供电公司,国网浙江省电力有限公司绍兴供电公司,18586537
20210409,区级数据,国网浙江绍兴市上虞区供电公司,国网浙江省电力有限公司绍兴供电公司,17949329
20210410,区级数据,国网浙江绍兴市上虞区供电公司,国网浙江省电力有限公司绍兴供电公司,18002296
20210411,区级数据,国网浙江绍兴市上虞区供电公司,国网浙江省电力有限公司绍兴供电公司,18494940
20210412,区级数据,国网浙江绍兴市上虞区供电公司,国网浙江省电力有限公司绍兴供电公司,18828653
20210413,区级数据,国网浙江绍兴市上虞区供电公司,国网浙江省电力有限公司绍兴供电公司,18496783
20210414,区级数据,国网浙江绍兴市上虞区供电公司,国网浙江省电力有限公司绍兴供电公司,18921963
20210415,区级数据,国网浙江绍兴市上虞区供电公司,国网浙江省电力有限公司绍兴供电公司,18629507
20210416,区级数据,国网浙江绍兴市上虞区供电公司,国网浙江省电力有限公司绍兴供电公司,18927454
20210417,区级数据,国网浙江绍兴市上虞区供电公司,国网浙江省电力有限公司绍兴供电公司,18271087
20210418,区级数据,国网浙江绍兴市上虞区供电公司,国网浙江省电力有限公司绍兴供电公司,17500751
