rq,type,区县,市,sum
20210401,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8636032
20210402,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8773618
20210403,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8481498
20210404,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,6941881
20210405,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8132691
20210406,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8603403
20210407,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8884468
20210408,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,9135825
20210409,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8852460
20210410,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8642759
20210411,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8414620
20210412,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8821703
20210413,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,9089512
20210414,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,9171002
20210415,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8965515
20210416,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8786064
20210417,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8674346
20210418,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8019753
20210419,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8552179
20210420,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8789961
20210421,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8825276
20210422,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8852024
20210423,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8881248
20210424,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8846574
20210425,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8336037
20210426,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8515591
20210427,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8753554
20210428,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8672426
20210429,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8469512
20210430,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,8198687
20210501,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,5649706
20210502,区级数据,国网浙江嵊州市供电有限公司,国网浙江省电力有限公司绍兴供电公司,5942530
