rq,type,区县,市,sum
20210401,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,6890348
20210402,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,7007920
20210403,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,6955945
20210404,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,6044455
20210405,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,6586131
20210406,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,6805953
20210407,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,6947896
20210408,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,7144735
20210409,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,6979862
20210410,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,6776383
20210411,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,6284697
20210412,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,6918771
20210413,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,7084564
20210414,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,7219000
20210415,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,7139614
20210416,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,6948380
20210417,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,6781110
20210418,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,6062760
20210419,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,6599371
20210420,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,6701231
20210421,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,6810679
20210422,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,6847314
20210423,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,6943892
20210424,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,6765343
20210425,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,6251836
20210426,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,6605188
20210427,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,6815838
20210428,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,6804034
20210429,区级数据,国网浙江新昌县供电公司,国网浙江省电力有限公司绍兴供电公司,6536978
