rq,type,区县,市,sum
20210401,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33250694
20210402,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33359113
20210403,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33246463
20210404,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,31575062
20210405,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,32402959
20210406,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33082887
20210407,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33762294
20210408,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33869708
20210409,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33393299
20210410,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33412099
20210411,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33491846
20210412,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33573770
20210413,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33503375
20210414,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,34104597
20210415,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33736023
20210416,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33358516
20210417,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33230739
20210418,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,32812717
20210419,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,32927572
20210420,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,32999176
20210421,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,32713140
20210422,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,32473816
20210423,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33009122
20210424,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33537185
20210425,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33206121
20210426,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,32896236
20210427,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33356237
20210428,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33197428
20210429,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,32547430
20210430,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,31120651
20210501,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,24546142
20210502,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,26047170
20210503,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,28974105
20210504,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,31351550
20210505,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,31969001
20210506,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,32538546
20210507,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,32704859
20210508,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,32895157
20210509,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33343655
20210510,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,34584771
20210511,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33974927
20210512,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,34201312
20210513,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,34009443
20210514,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,34531520
20210515,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,34777512
20210516,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,34143494
20210517,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33244543
20210518,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33497858
20210519,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33358551
20210520,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33192766
20210521,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,32959703
20210522,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,32983728
20210523,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33010038
20210524,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,32874162
20210525,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33317739
20210526,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33288593
20210527,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33470775
20210528,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33897399
20210529,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33731051
20210530,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33321463
20210531,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33474141
20210601,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33081238
20210602,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33563271
20210603,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33670455
20210604,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33071369
20210605,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33334227
20210606,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33225433
20210607,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,34059913
20210608,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,35032050
20210609,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,35774867
20210610,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,35215069
20210611,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,35749006
20210612,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,35592405
20210613,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33504048
20210614,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,27432146
20210615,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,32729907
20210616,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,35670151
20210617,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,36415005
20210618,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,36016101
20210619,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,34181090
20210620,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33345724
20210621,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,33482234
20210622,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,34197785
20210623,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,34706724
20210624,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,35326243
20210625,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,35958218
20210626,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,36276143
20210627,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,35718314
20210628,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,35871100
20210629,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,35993598
20210630,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,35597029
20210701,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,34693899
20210702,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,34853090
20210703,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,35652572
20210704,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,35754246
20210705,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,37656845
20210706,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,38282539
20210707,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,39310924
20210708,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,38658276
20210709,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,37522442
20210710,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,37545300
20210711,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,38205581
20210712,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,39765873
20210713,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,40743087
20210714,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,40854677
20210715,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,40565238
20210716,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,40202603
20210717,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,39386608
20210718,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,38069992
20210719,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,39038694
20210720,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,39527283
20210721,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,38518096
20210722,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,37984271
20210723,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,37053256
20210724,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,32955400
20210725,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,25761551
20210726,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,26788943
20210727,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,31926373
20210728,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,34799050
20210729,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,37071332
20210730,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,37746523
20210731,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,37101244
20210801,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,36541789
20210802,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,37895324
20210803,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,37997011
20210804,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,37938866
20210805,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,37916771
20210806,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,38430941
20210807,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,37880070
20210808,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,37139305
20210809,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,38361004
20210810,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,37968499
20210811,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,37076185
20210812,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,36618041
20210813,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,35825297
20210814,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,34325155
20210815,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,34013341
20210816,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,34848386
20210817,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,35364124
20210818,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,35629324
20210819,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,36396676
20210820,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,37175264
20210821,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,37187141
20210822,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,37008382
20210823,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,38413172
20210824,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,38742103
20210825,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,38265918
20210826,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,38791549
20210827,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,38710835
20210828,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,38906861
20210829,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,38678607
20210830,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,39441218
20210831,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,39301642
20210901,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,39636159
20210902,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,39334264
20210903,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,38546217
20210904,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,39021528
20210905,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,38700164
20210906,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,38869791
20210907,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,37087288
20210908,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,36230601
20210909,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,36851965
20210910,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,36874877
20210911,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,36470192
20210912,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,35439476
20210913,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,34152863
20210914,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,34196773
20210915,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,34299168
20210916,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,34431931
20210917,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,34525280
20210918,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,34815835
20210919,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,35463559
20210920,区级数据,柯桥供电分公司,国网浙江省电力有限公司绍兴供电公司,34941517
