rq,type,区县,市,sum
20210401,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8498125
20210402,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8528617
20210403,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8321596
20210404,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,7365805
20210405,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8028324
20210406,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8488703
20210407,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8765199
20210408,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8854456
20210409,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8718366
20210410,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8647575
20210411,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8639894
20210412,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8875147
20210413,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8777581
20210414,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8948207
20210415,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8858379
20210416,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8761192
20210417,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8587319
20210418,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8269518
20210419,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8573065
20210420,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8637044
20210421,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8732479
20210422,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8771980
20210423,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8889213
20210424,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8850391
20210425,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8719997
20210426,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8705724
20210427,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8876011
20210428,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8809933
20210429,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8660110
20210430,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8252926
20210501,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,6333646
20210502,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,6712298
20210503,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,7710615
20210504,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8334945
20210505,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8321370
20210506,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8538286
20210507,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8673480
20210508,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8855704
20210509,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8667579
20210510,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,9204549
20210511,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,9062786
20210512,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,9080902
20210513,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,9003431
20210514,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,9214774
20210515,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,9315473
20210516,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8797399
20210517,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8633951
20210518,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8782111
20210519,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8768323
20210520,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8730017
20210521,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8722640
20210522,区级数据,滨海供电分公司,国网浙江省电力有限公司绍兴供电公司,8686959
