rq,type,区县,市,sum
20210401,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,27036233
20210402,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,27742679
20210403,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,27621487
20210404,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,24744817
20210405,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,27409083
20210406,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,27768711
20210407,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28416539
20210408,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28883038
20210409,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28391734
20210410,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28199469
20210411,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28086713
20210412,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28635067
20210413,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28906157
20210414,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29340451
20210415,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28499728
20210416,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28534784
20210417,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28223567
20210418,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,27449203
20210419,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,27874923
20210420,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,27805892
20210421,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,27797033
20210422,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28114800
20210423,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28923478
20210424,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28601968
20210425,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28194387
20210426,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28362049
20210427,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28793897
20210428,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28858277
20210429,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28347197
20210430,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,27184177
20210501,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,19996774
20210502,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,21403177
20210503,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,25354692
20210504,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,27731298
20210505,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,27300194
20210506,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29140161
20210507,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28268964
20210508,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29202476
20210509,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28713335
20210510,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29893107
20210511,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29007776
20210512,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29431629
20210513,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29674800
20210514,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29976905
20210515,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29998021
20210516,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29658792
20210517,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28367834
20210518,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28819576
20210519,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29123050
20210520,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28983922
20210521,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28756895
20210522,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28938288
20210523,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28513606
20210524,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28703104
20210525,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29250350
20210526,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29538694
20210527,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29520118
20210528,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29902414
20210529,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29435779
20210530,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28863584
20210531,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29460785
20210601,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28759627
20210602,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29972761
20210603,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,30331232
20210604,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29100872
20210605,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28757059
20210606,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28558992
20210607,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29617037
20210608,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,30702836
20210609,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,31486538
20210610,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29583226
20210611,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,31021445
20210612,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,31210509
20210613,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29185811
20210614,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,25296119
20210615,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29831866
20210616,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,31776016
20210617,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,32692229
20210618,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,31946688
20210619,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29761859
20210620,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,28618715
20210621,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29180610
20210622,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29250054
20210623,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,29396616
20210624,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,30355626
20210625,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,31143389
20210626,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,31525825
20210627,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,30132650
20210628,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,30944397
20210629,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,31018643
20210630,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,30327412
20210701,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,30033750
20210702,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,30613742
20210703,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,31604018
20210704,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,32137703
20210705,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,33817905
20210706,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,34485127
20210707,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,35294465
20210708,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,34850638
20210709,区级数据,国网浙江诸暨市供电有限公司,国网浙江省电力有限公司绍兴供电公司,33888805
