rq,type,区县,市,sum
20210401,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11899079
20210402,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11878593
20210403,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11708939
20210404,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,10764982
20210405,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11314929
20210406,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11845184
20210407,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12239827
20210408,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12500063
20210409,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12202917
20210410,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11952920
20210411,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11933013
20210412,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12182208
20210413,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12187645
20210414,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12535713
20210415,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12301904
20210416,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12078818
20210417,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11784223
20210418,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11467628
20210419,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11719137
20210420,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11772833
20210421,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11804728
20210422,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11867519
20210423,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12028135
20210424,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11985764
20210425,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11726752
20210426,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11724911
20210427,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11907730
20210428,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11902413
20210429,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11764932
20210430,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11677473
20210501,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,9670133
20210502,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,9815069
20210503,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,10979311
20210504,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11479769
20210505,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11416136
20210506,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11753616
20210507,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12117802
20210508,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12444814
20210509,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12493730
20210510,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,13662397
20210511,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12723468
20210512,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12718832
20210513,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12586258
20210514,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,13316111
20210515,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,13427888
20210516,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12998040
20210517,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11843867
20210518,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11935221
20210519,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11916915
20210520,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11953347
20210521,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11911537
20210522,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11772810
20210523,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11586208
20210524,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,11982521
20210525,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12471857
20210526,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12345224
20210527,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12562279
20210528,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12778764
20210529,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12710598
20210530,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12526138
20210531,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12989734
20210601,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12720071
20210602,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,13095626
20210603,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,13400566
20210604,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12100696
20210605,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12230555
20210606,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12360076
20210607,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,13149049
20210608,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,13863511
20210609,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,14606037
20210610,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,14179709
20210611,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,14607370
20210612,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,14478855
20210613,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,13242816
20210614,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12415863
20210615,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,15036160
20210616,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,15217553
20210617,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,15578690
20210618,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,15044539
20210619,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12942121
20210620,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12254769
20210621,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,12689301
20210622,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,13159802
20210623,区级数据,越城供电分公司,国网浙江省电力有限公司绍兴供电公司,13559147
