rq,type,区县,市,sum
20210401,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19636479
20210402,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19738950
20210403,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19816865
20210404,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19136782
20210405,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19098775
20210406,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19079044
20210407,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19645125
20210408,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19756436
20210409,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19380069
20210410,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19455329
20210411,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19913565
20210412,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20071475
20210413,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19729070
20210414,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19895184
20210415,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19904337
20210416,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19836067
20210417,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19806292
20210418,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19520611
20210419,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19489671
20210420,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19590025
20210421,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19856318
20210422,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20127977
20210423,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19729598
20210424,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20279846
20210425,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19880949
20210426,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,18750595
20210427,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19864349
20210428,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19693400
20210429,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19364704
20210430,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20824437
20210501,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,18633320
20210502,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,18407290
20210503,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20387769
20210504,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,21321795
20210505,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,21245340
20210506,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19648272
20210507,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19765402
20210508,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20356726
20210509,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20132154
20210510,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20381941
20210511,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20593897
20210512,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20652060
20210513,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20324275
20210514,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20418393
20210515,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20446440
20210516,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20273697
20210517,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19511970
20210518,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19484997
20210519,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19706060
20210520,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19754280
20210521,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19451198
20210522,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19671760
20210523,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19800280
20210524,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19427500
20210525,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19245193
20210526,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19301695
20210527,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19518930
20210528,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19968568
20210529,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19608740
20210530,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19250968
20210531,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19373761
20210601,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19462600
20210602,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19527360
20210603,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19895451
20210604,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19287925
20210605,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,18914316
20210606,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,18934374
20210607,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19340997
20210608,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19884946
20210609,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20426412
20210610,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20595995
20210611,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20478486
20210612,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20721137
20210613,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20646399
20210614,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,19857464
20210615,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20343686
20210616,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20879476
20210617,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20762935
20210618,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,21033493
20210619,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20382837
20210620,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20398012
20210621,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20152004
20210622,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20156455
20210623,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20274428
20210624,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20301340
20210625,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20589004
20210626,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,21177845
20210627,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,21222992
20210628,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,21059101
20210629,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,20619928
20210630,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,21212005
20210701,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,21135760
20210702,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,21484545
20210703,区级数据,绍兴电力客户服务中心,国网浙江省电力有限公司绍兴供电公司,21473764
