rq,type,区县,市,sum
20210401,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6533760
20210402,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6519560
20210403,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6205027
20210404,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,5740981
20210405,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6146899
20210406,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6505415
20210407,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6326572
20210408,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6608085
20210409,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6556520
20210410,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6383116
20210411,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6220781
20210412,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6448369
20210413,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6492989
20210414,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6548678
20210415,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6735586
20210416,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6669250
20210417,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6549333
20210418,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6325691
20210419,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6428218
20210420,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6514313
20210421,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6391088
20210422,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6546598
20210423,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6556212
20210424,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6321025
20210425,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6291721
20210426,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6458554
20210427,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6447449
20210428,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6566842
20210429,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6553370
20210430,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6228823
20210501,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,5143572
20210502,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,5316240
20210503,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,5756851
20210504,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6015192
20210505,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6133283
20210506,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6222465
20210507,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6525715
20210508,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6493381
20210509,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6470402
20210510,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6663542
20210511,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6711651
20210512,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6806934
20210513,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6691690
20210514,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6839339
20210515,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6660522
20210516,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6565343
20210517,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6558292
20210518,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6485586
20210519,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6619544
20210520,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6633817
20210521,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6393940
20210522,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6341647
20210523,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6056787
20210524,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6410412
20210525,区级数据,定海供电分公司,国网浙江省电力有限公司舟山供电公司,6677633
