rq,type,区县,市,sum
20210401,区级数据,国网浙江省电力公司嵊泗县供电公司,国网浙江省电力有限公司舟山供电公司,499740
20210402,区级数据,国网浙江省电力公司嵊泗县供电公司,国网浙江省电力有限公司舟山供电公司,520091
20210403,区级数据,国网浙江省电力公司嵊泗县供电公司,国网浙江省电力有限公司舟山供电公司,602422
20210404,区级数据,国网浙江省电力公司嵊泗县供电公司,国网浙江省电力有限公司舟山供电公司,670670
20210405,区级数据,国网浙江省电力公司嵊泗县供电公司,国网浙江省电力有限公司舟山供电公司,694332
20210406,区级数据,国网浙江省电力公司嵊泗县供电公司,国网浙江省电力有限公司舟山供电公司,650437
20210407,区级数据,国网浙江省电力公司嵊泗县供电公司,国网浙江省电力有限公司舟山供电公司,576209
20210408,区级数据,国网浙江省电力公司嵊泗县供电公司,国网浙江省电力有限公司舟山供电公司,654505
20210409,区级数据,国网浙江省电力公司嵊泗县供电公司,国网浙江省电力有限公司舟山供电公司,651490
20210410,区级数据,国网浙江省电力公司嵊泗县供电公司,国网浙江省电力有限公司舟山供电公司,588788
20210411,区级数据,国网浙江省电力公司嵊泗县供电公司,国网浙江省电力有限公司舟山供电公司,602042
20210412,区级数据,国网浙江省电力公司嵊泗县供电公司,国网浙江省电力有限公司舟山供电公司,561894
20210413,区级数据,国网浙江省电力公司嵊泗县供电公司,国网浙江省电力有限公司舟山供电公司,655912
20210414,区级数据,国网浙江省电力公司嵊泗县供电公司,国网浙江省电力有限公司舟山供电公司,643432
20210415,区级数据,国网浙江省电力公司嵊泗县供电公司,国网浙江省电力有限公司舟山供电公司,589868
20210416,区级数据,国网浙江省电力公司嵊泗县供电公司,国网浙江省电力有限公司舟山供电公司,588895
20210417,区级数据,国网浙江省电力公司嵊泗县供电公司,国网浙江省电力有限公司舟山供电公司,531984
20210418,区级数据,国网浙江省电力公司嵊泗县供电公司,国网浙江省电力有限公司舟山供电公司,595299
20210419,区级数据,国网浙江省电力公司嵊泗县供电公司,国网浙江省电力有限公司舟山供电公司,553646
20210420,区级数据,国网浙江省电力公司嵊泗县供电公司,国网浙江省电力有限公司舟山供电公司,544385
20210421,区级数据,国网浙江省电力公司嵊泗县供电公司,国网浙江省电力有限公司舟山供电公司,519492
20210422,区级数据,国网浙江省电力公司嵊泗县供电公司,国网浙江省电力有限公司舟山供电公司,508868
20210423,区级数据,国网浙江省电力公司嵊泗县供电公司,国网浙江省电力有限公司舟山供电公司,544976
20210424,区级数据,国网浙江省电力公司嵊泗县供电公司,国网浙江省电力有限公司舟山供电公司,535016
