rq,type,区县,市,sum
20210401,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3423635
20210402,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3405741
20210403,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3472072
20210404,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3388295
20210405,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3533148
20210406,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3555062
20210407,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3536771
20210408,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3598126
20210409,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3529309
20210410,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3501208
20210411,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3452896
20210412,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3539310
20210413,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3597019
20210414,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3623074
20210415,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3622709
20210416,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3557231
20210417,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3605854
20210418,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3484147
20210419,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3463810
20210420,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3515370
20210421,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3502787
20210422,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3398822
20210423,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3416096
20210424,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3425368
20210425,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3355792
20210426,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3371808
20210427,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3410050
20210428,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3535820
20210429,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3447311
20210430,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3456888
20210501,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3238142
20210502,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3295527
20210503,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3357761
20210504,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3333815
20210505,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3253187
20210506,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3253463
20210507,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3362199
20210508,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3384986
20210509,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3344221
20210510,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3499223
20210511,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3441693
20210512,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3456021
20210513,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3388793
20210514,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3581055
20210515,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3693971
20210516,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3695119
20210517,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3337086
20210518,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3301603
20210519,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3273409
20210520,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3297479
20210521,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3259156
20210522,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3286753
20210523,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3154566
20210524,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3264173
20210525,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3382922
20210526,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3415223
20210527,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3493357
20210528,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3553642
20210529,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3445700
20210530,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3378673
20210531,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3482096
20210601,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3517287
20210602,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3433516
20210603,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3662660
20210604,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3327184
20210605,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3388795
20210606,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3364821
20210607,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3476581
20210608,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3649348
20210609,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3773461
20210610,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3860009
20210611,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,4004532
20210612,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3905059
20210613,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3984824
20210614,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3771415
20210615,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,4260659
20210616,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,4219770
20210617,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,4128208
20210618,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,4212449
20210619,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3653783
20210620,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3309887
20210621,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3645402
20210622,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3755166
20210623,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3850495
20210624,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,4045846
20210625,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,4201064
20210626,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,4059388
20210627,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3800754
20210628,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,4120211
20210629,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,4181933
20210630,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3992684
20210701,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,4082916
20210702,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,4192969
20210703,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,4453133
20210704,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,4478066
20210705,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,4900544
20210706,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,5151375
20210707,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,5283085
20210708,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,5235617
20210709,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,4909521
20210710,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,4634601
20210711,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,4906571
20210712,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,5142457
20210713,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,5234731
20210714,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,5388444
20210715,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,5447560
20210716,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,5568725
20210717,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,5436513
20210718,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,5258350
20210719,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,5590630
20210720,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,5663163
20210721,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,5489433
20210722,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,5043443
20210723,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,4490412
20210724,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3897384
20210725,区级数据,普陀供电分公司,国网浙江省电力有限公司舟山供电公司,3068813
