rq,type,区县,市,sum
20210401,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3125610
20210402,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3201806
20210403,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3081337
20210404,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,2457877
20210405,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,2983990
20210406,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3110052
20210407,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3256335
20210408,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3403298
20210409,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3236259
20210410,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3201849
20210411,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3224920
20210412,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3270206
20210413,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3244412
20210414,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3251976
20210415,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3284304
20210416,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3090048
20210417,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3030117
20210418,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3006903
20210419,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3231567
20210420,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3278536
20210421,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3236590
20210422,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3328320
20210423,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3272918
20210424,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3251651
20210425,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3207642
20210426,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3343084
20210427,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3446530
20210428,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3437753
20210429,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3319501
20210430,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3218622
20210501,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,2366244
20210502,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,2490458
20210503,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,2878432
20210504,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3214468
20210505,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3139013
20210506,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3236003
20210507,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3355710
20210508,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3355641
20210509,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3231265
20210510,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3363280
20210511,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3301988
20210512,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3310674
20210513,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3347280
20210514,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3414511
20210515,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3407799
20210516,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3119286
20210517,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3373906
20210518,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3343869
20210519,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3316485
20210520,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3260713
20210521,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3260019
20210522,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3305551
20210523,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3249698
20210524,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3282051
20210525,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3280821
20210526,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3383580
20210527,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3367603
20210528,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3448211
20210529,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3336154
20210530,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3159474
20210531,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3328764
20210601,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3214232
20210602,区级数据,国网浙江常山县供电有限公司,国网浙江省电力有限公司衢州供电公司,3333917
