rq,type,区县,市,sum
20210401,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2265691
20210402,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2358845
20210403,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2339501
20210404,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2023988
20210405,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2184865
20210406,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2177779
20210407,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2288745
20210408,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2374986
20210409,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2222545
20210410,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2194012
20210411,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2260800
20210412,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2283265
20210413,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2293450
20210414,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2306037
20210415,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2290001
20210416,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2253060
20210417,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2159618
20210418,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2113906
20210419,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2061286
20210420,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,1995353
20210421,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2100523
20210422,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2177072
20210423,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2179671
20210424,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2202100
20210425,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2189528
20210426,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2217505
20210427,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2234300
20210428,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2091392
20210429,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2070271
20210430,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2119506
20210501,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,1898587
20210502,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,1935324
20210503,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2070753
20210504,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2196716
20210505,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2089126
20210506,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2164953
20210507,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2194629
20210508,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2216055
20210509,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2172233
20210510,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2182875
20210511,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2177332
20210512,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2221245
20210513,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2305181
20210514,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2342608
20210515,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2450920
20210516,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2319601
20210517,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2281052
20210518,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2312465
20210519,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2327736
20210520,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2253083
20210521,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2259397
20210522,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2207131
20210523,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2154958
20210524,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2131414
20210525,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2228117
20210526,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2261545
20210527,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2268611
20210528,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2307943
20210529,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2209053
20210530,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2193234
20210531,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2240163
20210601,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2286514
20210602,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2331735
20210603,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2407352
20210604,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2215351
20210605,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2195623
20210606,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2157646
20210607,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2243414
20210608,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2341755
20210609,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2488520
20210610,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2436511
20210611,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2430575
20210612,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2479710
20210613,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2466332
20210614,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2354327
20210615,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2669008
20210616,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2811449
20210617,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2901126
20210618,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2806665
20210619,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2652177
20210620,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2357465
20210621,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2334219
20210622,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2281037
20210623,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2313481
20210624,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2405602
20210625,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2504049
20210626,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2597898
20210627,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2549630
20210628,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2472570
20210629,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2454521
20210630,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2368722
20210701,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2257338
20210702,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2337563
20210703,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2569118
20210704,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2602108
20210705,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2771041
20210706,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2921293
20210707,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2866622
20210708,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2911254
20210709,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2774788
20210710,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2820028
20210711,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2913287
20210712,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,3020112
20210713,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,3107386
20210714,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,3173628
20210715,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,3182400
20210716,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,3115979
20210717,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,3092151
20210718,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2880348
20210719,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2976982
20210720,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,3055397
20210721,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,3067901
20210722,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,3005647
20210723,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2948552
20210724,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2782098
20210725,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2585174
20210726,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2605298
20210727,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2662629
20210728,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2745557
20210729,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2840331
20210730,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2917455
20210731,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2818102
20210801,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2853594
20210802,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2991123
20210803,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,3074665
20210804,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,3079246
20210805,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,3052346
20210806,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,3023454
20210807,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2996006
20210808,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2901649
20210809,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,3070272
20210810,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,3012611
20210811,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2883661
20210812,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2810823
20210813,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2717994
20210814,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2592640
20210815,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2501113
20210816,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2605166
20210817,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2626258
20210818,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2658072
20210819,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2815811
20210820,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2813990
20210821,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2696641
20210822,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2754481
20210823,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2892531
20210824,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2947306
20210825,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2847351
20210826,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2868598
20210827,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2894209
20210828,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2905106
20210829,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2968314
20210830,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2979257
20210831,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2980482
20210901,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2932920
20210902,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,3029031
20210903,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2953877
20210904,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2946591
20210905,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2969654
20210906,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2933701
20210907,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2846310
20210908,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2797695
20210909,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2857805
20210910,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2950509
20210911,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2941067
20210912,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2811395
20210913,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2750315
20210914,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2766886
20210915,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2646487
20210916,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2598574
20210917,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2643362
20210918,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2696548
20210919,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2806378
20210920,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2746406
20210921,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2257960
20210922,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2402284
20210923,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2570834
20210924,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2696212
20210925,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2671564
20210926,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2721140
20210927,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2794439
20210928,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2737030
20210929,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2498471
20210930,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2611008
20211001,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2365104
20211002,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2345663
20211003,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2445759
20211004,区级数据,国网浙江开化县供电有限公司,国网浙江省电力有限公司衢州供电公司,2472922
