rq,type,区县,市,sum
20210401,区级数据,衢州柯城供电分公司,国网浙江省电力有限公司衢州供电公司,4838817
20210402,区级数据,衢州柯城供电分公司,国网浙江省电力有限公司衢州供电公司,4866944
20210403,区级数据,衢州柯城供电分公司,国网浙江省电力有限公司衢州供电公司,4658802
20210404,区级数据,衢州柯城供电分公司,国网浙江省电力有限公司衢州供电公司,4321563
20210405,区级数据,衢州柯城供电分公司,国网浙江省电力有限公司衢州供电公司,4599984
20210406,区级数据,衢州柯城供电分公司,国网浙江省电力有限公司衢州供电公司,4739841
20210407,区级数据,衢州柯城供电分公司,国网浙江省电力有限公司衢州供电公司,4853687
20210408,区级数据,衢州柯城供电分公司,国网浙江省电力有限公司衢州供电公司,5143384
20210409,区级数据,衢州柯城供电分公司,国网浙江省电力有限公司衢州供电公司,4867844
20210410,区级数据,衢州柯城供电分公司,国网浙江省电力有限公司衢州供电公司,4723729
20210411,区级数据,衢州柯城供电分公司,国网浙江省电力有限公司衢州供电公司,4706144
20210412,区级数据,衢州柯城供电分公司,国网浙江省电力有限公司衢州供电公司,4879803
20210413,区级数据,衢州柯城供电分公司,国网浙江省电力有限公司衢州供电公司,4927471
20210414,区级数据,衢州柯城供电分公司,国网浙江省电力有限公司衢州供电公司,5000026
20210415,区级数据,衢州柯城供电分公司,国网浙江省电力有限公司衢州供电公司,4930809
20210416,区级数据,衢州柯城供电分公司,国网浙江省电力有限公司衢州供电公司,4840787
20210417,区级数据,衢州柯城供电分公司,国网浙江省电力有限公司衢州供电公司,4659579
20210418,区级数据,衢州柯城供电分公司,国网浙江省电力有限公司衢州供电公司,4477985
20210419,区级数据,衢州柯城供电分公司,国网浙江省电力有限公司衢州供电公司,4626478
20210420,区级数据,衢州柯城供电分公司,国网浙江省电力有限公司衢州供电公司,4628088
20210421,区级数据,衢州柯城供电分公司,国网浙江省电力有限公司衢州供电公司,4698271
20210422,区级数据,衢州柯城供电分公司,国网浙江省电力有限公司衢州供电公司,4752770
20210423,区级数据,衢州柯城供电分公司,国网浙江省电力有限公司衢州供电公司,4787210
