rq,type,区县,市,sum
20210401,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5637643
20210402,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5578736
20210403,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5316851
20210404,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,4158697
20210405,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5188709
20210406,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5411165
20210407,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5641140
20210408,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5944879
20210409,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5671036
20210410,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5652058
20210411,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5559287
20210412,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5729737
20210413,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5835015
20210414,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5870026
20210415,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5757507
20210416,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5676035
20210417,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5519199
20210418,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5294449
20210419,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5398402
20210420,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5533341
20210421,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5506560
20210422,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5665245
20210423,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5553718
20210424,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5545523
20210425,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5507259
20210426,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5593648
20210427,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5728224
20210428,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5832323
20210429,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5552791
20210430,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5249663
20210501,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,3737348
20210502,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,4019826
20210503,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,4893153
20210504,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5410730
20210505,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5305979
20210506,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5467344
20210507,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5447373
20210508,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5414329
20210509,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5211529
20210510,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5557487
20210511,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5468016
20210512,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5598832
20210513,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5580704
20210514,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5640896
20210515,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5753209
20210516,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5457886
20210517,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5498441
20210518,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5525826
20210519,区级数据,国网浙江省电力有限公司江山市供电公司,国网浙江省电力有限公司衢州供电公司,5580504
