rq,type,区县,市,sum
20210401,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5986298
20210402,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6039417
20210403,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5683855
20210404,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,4807230
20210405,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5316878
20210406,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5690043
20210407,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5976365
20210408,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6212998
20210409,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5919576
20210410,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5757321
20210411,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5621324
20210412,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5619700
20210413,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5897254
20210414,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5915451
20210415,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5954001
20210416,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5952959
20210417,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5781700
20210418,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5360389
20210419,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5494386
20210420,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5762110
20210421,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5793495
20210422,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5922275
20210423,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5816490
20210424,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5794195
20210425,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5662583
20210426,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5835682
20210427,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5833890
20210428,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6045135
20210429,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5819536
20210430,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5676075
20210501,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,4523179
20210502,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,4465283
20210503,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5207096
20210504,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5869767
20210505,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5790918
20210506,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5975269
20210507,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5900924
20210508,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6012813
20210509,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5786429
20210510,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6105820
20210511,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6086333
20210512,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6295788
20210513,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6301372
20210514,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6355995
20210515,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6308930
20210516,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5625013
20210517,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5697619
20210518,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5985701
20210519,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6005070
20210520,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6018261
20210521,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6019551
20210522,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5987791
20210523,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5682897
20210524,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5754685
20210525,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5999903
20210526,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6158876
20210527,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6136134
20210528,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6057466
20210529,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5828411
20210530,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5563833
20210531,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5888017
20210601,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6198621
20210602,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6346560
20210603,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6467808
20210604,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6091740
20210605,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5898192
20210606,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5661595
20210607,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5994018
20210608,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6302231
20210609,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6648485
20210610,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6599866
20210611,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6602755
20210612,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6499740
20210613,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6072134
20210614,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5292377
20210615,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6566186
20210616,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,7291347
20210617,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,7461964
20210618,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,7338223
20210619,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6697728
20210620,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5947630
20210621,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6005340
20210622,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6071693
20210623,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6129053
20210624,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6204627
20210625,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6410398
20210626,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6568658
20210627,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6229141
20210628,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6122082
20210629,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6314202
20210630,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6037205
20210701,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,5958123
20210702,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6092389
20210703,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6289020
20210704,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6131548
20210705,区级数据,衢州衢江供电分公司,国网浙江省电力有限公司衢州供电公司,6730494
