rq,type,区县,市,sum
20210401,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,7660533
20210402,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8048714
20210403,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,7946878
20210404,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,7217096
20210405,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,7810399
20210406,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8078049
20210407,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8300835
20210408,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8537748
20210409,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8161591
20210410,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8062488
20210411,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8356515
20210412,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8412647
20210413,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8519613
20210414,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8469735
20210415,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,7935043
20210416,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,7858753
20210417,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8050623
20210418,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,7555288
20210419,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8041099
20210420,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8251102
20210421,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8291212
20210422,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8366902
20210423,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8411203
20210424,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8160355
20210425,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8061907
20210426,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8196828
20210427,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8458783
20210428,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8606973
20210429,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8004683
20210430,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,7479770
20210501,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,5656811
20210502,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,5639820
20210503,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,6687837
20210504,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,7799696
20210505,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,7648603
20210506,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8065832
20210507,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8154453
20210508,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8350617
20210509,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,7823428
20210510,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8264331
20210511,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8159000
20210512,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8291934
20210513,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8316035
20210514,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8496238
20210515,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8631432
20210516,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8065010
20210517,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8057468
20210518,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8034536
20210519,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8048520
20210520,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,7759033
20210521,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,7998981
20210522,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8008450
20210523,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,7737183
20210524,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,7828290
20210525,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,7965824
20210526,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8150168
20210527,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8020654
20210528,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8228374
20210529,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8113101
20210530,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,7856701
20210531,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,7768927
20210601,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,7741860
20210602,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8238365
20210603,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8528731
20210604,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8262186
20210605,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8027089
20210606,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,7835730
20210607,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8391346
20210608,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8643540
20210609,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8980569
20210610,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8929939
20210611,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8760792
20210612,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8860397
20210613,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8366193
20210614,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,7544107
20210615,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8762758
20210616,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,9398792
20210617,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,9692105
20210618,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,9486670
20210619,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,9021042
20210620,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8032698
20210621,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8237986
20210622,区级数据,国网浙江龙游县供电有限公司,国网浙江省电力有限公司衢州供电公司,8076247
