rq,type,区县,市,sum
20210401,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,15496188
20210402,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16213059
20210403,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16074529
20210404,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,13801768
20210405,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,15657655
20210406,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16043461
20210407,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16413303
20210408,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16900215
20210409,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16529848
20210410,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16309581
20210411,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16435114
20210412,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16528372
20210413,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16835422
20210414,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16817029
20210415,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16648536
20210416,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16281071
20210417,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16191877
20210418,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16017525
20210419,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16002835
20210420,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16151340
20210421,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16304716
20210422,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16384573
20210423,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16637267
20210424,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16449684
20210425,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16316217
20210426,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16302481
20210427,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16399444
20210428,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16566976
20210429,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16205195
20210430,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,15495038
20210501,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,11327997
20210502,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,12834719
20210503,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,14892272
20210504,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16027543
20210505,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,15846516
20210506,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16095042
20210507,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16476395
20210508,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16748394
20210509,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16630266
20210510,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,17177792
20210511,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16702476
20210512,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,17160638
20210513,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,17403814
20210514,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,17926822
20210515,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,19010769
20210516,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,18255229
20210517,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16658640
20210518,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16498527
20210519,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16553246
20210520,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16246530
20210521,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16111680
20210522,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16131590
20210523,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16082954
20210524,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16417460
20210525,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16703951
20210526,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,17022996
20210527,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,17275105
20210528,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,17279658
20210529,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,15352217
20210530,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,14940978
20210531,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,15089820
20210601,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,14340160
20210602,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,15355974
20210603,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16010787
20210604,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16108358
20210605,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16107425
20210606,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16120803
20210607,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16798344
20210608,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,17737919
20210609,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,18603813
20210610,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,18410073
20210611,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,18644824
20210612,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,18421197
20210613,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,17412277
20210614,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,14926521
20210615,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,17917006
20210616,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,19471480
20210617,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,20065791
20210618,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,20044211
20210619,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,17869795
20210620,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16503458
20210621,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16462166
20210622,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16261388
20210623,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,17046859
20210624,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,17730995
20210625,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,18542151
20210626,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,19140448
20210627,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,18706010
20210628,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,18977808
20210629,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,19172360
20210630,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,17966172
20210701,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,16629299
20210702,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,17935164
20210703,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,19449087
20210704,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,20708214
20210705,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,21979174
20210706,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,21197598
20210707,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,21632057
20210708,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,21840656
20210709,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,20876460
20210710,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,19870331
20210711,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,20947444
20210712,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,22375120
20210713,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,23209316
20210714,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,23245980
20210715,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,22741576
20210716,区级数据,国网浙江东阳市供电有限公司,国网浙江省电力有限公司金华供电公司,22595782
