rq,type,区县,市,sum
20210401,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,24010273
20210402,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,24814876
20210403,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,23812721
20210404,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,19876635
20210405,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,23707591
20210406,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,24783752
20210407,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,25361453
20210408,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,26189117
20210409,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,25584859
20210410,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,25380645
20210411,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,25671991
20210412,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,25713729
20210413,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,25828342
20210414,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,26180263
20210415,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,25735584
20210416,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,25182068
20210417,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,25006621
20210418,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,24613813
20210419,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,24878120
20210420,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,24932880
20210421,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,25265723
20210422,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,25493441
20210423,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,25588868
20210424,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,25486576
20210425,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,25259017
20210426,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,25253626
20210427,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,25637088
20210428,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,25706185
20210429,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,25388794
20210430,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,24346529
20210501,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,17127278
20210502,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,19576547
20210503,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,23399043
20210504,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,25188042
20210505,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,24985359
20210506,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,25464910
20210507,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,26362366
20210508,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,27084450
20210509,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,27252760
20210510,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,29006012
20210511,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,27081192
20210512,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,27845101
20210513,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,28456877
20210514,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,30098494
20210515,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,32244505
20210516,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,30337869
20210517,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,26386228
20210518,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,26023593
20210519,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,25761275
20210520,区级数据,国网浙江义乌市供电公司,国网浙江省电力有限公司金华供电公司,26062990
