rq,type,区县,市,sum
20210401,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13474826
20210402,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13755593
20210403,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13378022
20210404,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,12030101
20210405,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13167012
20210406,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13624923
20210407,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14037479
20210408,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14320615
20210409,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13414528
20210410,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13139663
20210411,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13718749
20210412,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13931373
20210413,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14054212
20210414,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13933719
20210415,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13729614
20210416,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13513122
20210417,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13507546
20210418,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13075448
20210419,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13248086
20210420,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13585840
20210421,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13373987
20210422,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13513745
20210423,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13599547
20210424,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13463556
20210425,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13494154
20210426,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13548343
20210427,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14101643
20210428,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14061471
20210429,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13511592
20210430,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13035733
20210501,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,10086582
20210502,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,10466561
20210503,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,11997343
20210504,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13354226
20210505,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13290829
20210506,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13743489
20210507,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13857467
20210508,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14036543
20210509,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13533341
20210510,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13655797
20210511,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13589744
20210512,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14057541
20210513,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14028568
20210514,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14152994
20210515,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14172251
20210516,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13599931
20210517,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13768505
20210518,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13972228
20210519,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13765710
20210520,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13989089
20210521,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13947537
20210522,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13934298
20210523,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13595147
20210524,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13590384
20210525,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13896054
20210526,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14025044
20210527,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14050186
20210528,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14361815
20210529,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13989434
20210530,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13504544
20210531,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13652329
20210601,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13835394
20210602,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14193473
20210603,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14411205
20210604,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13892223
20210605,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13668321
20210606,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13252804
20210607,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13958903
20210608,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14536903
20210609,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14930120
20210610,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14921647
20210611,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14873420
20210612,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,15027789
20210613,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14262723
20210614,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,12362765
20210615,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14280805
20210616,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,15755880
20210617,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,16201687
20210618,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,16016010
20210619,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14982345
20210620,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13836190
20210621,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14018025
20210622,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14054181
20210623,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14097183
20210624,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14524270
20210625,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14862402
20210626,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,15249694
20210627,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14620167
20210628,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14630656
20210629,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14869716
20210630,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14583117
20210701,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13791040
20210702,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14178745
20210703,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14746359
20210704,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14711010
20210705,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,15579447
20210706,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,15815968
20210707,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,16177803
20210708,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,16224418
20210709,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,15881268
20210710,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,15585613
20210711,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,15427986
20210712,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,16378101
20210713,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,17026730
20210714,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,17187882
20210715,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,17091581
20210716,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,16911136
20210717,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,16709520
20210718,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,15835994
20210719,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,16337452
20210720,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,16573257
20210721,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,16245820
20210722,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,16039680
20210723,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,15449471
20210724,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14889625
20210725,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,13860213
20210726,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14144269
20210727,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14470435
20210728,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,14868409
20210729,区级数据,国网浙江兰溪市供电有限公司,国网浙江省电力有限公司金华供电公司,15447843
