rq,type,区县,市,sum
20210401,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10675876
20210402,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10729093
20210403,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10130238
20210404,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,8494098
20210405,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,9935099
20210406,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10522095
20210407,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10763693
20210408,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,11064780
20210409,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10696287
20210410,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10422737
20210411,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10225152
20210412,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10680583
20210413,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10882138
20210414,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10876267
20210415,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10741130
20210416,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10615971
20210417,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10414645
20210418,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,9760631
20210419,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10262707
20210420,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10455851
20210421,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10546074
20210422,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10598702
20210423,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10751465
20210424,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10481327
20210425,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10194720
20210426,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10386893
20210427,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10708864
20210428,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10690697
20210429,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10423516
20210430,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10103419
20210501,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,7832223
20210502,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,8006857
20210503,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,9273240
20210504,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10044284
20210505,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10015901
20210506,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10370834
20210507,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10772115
20210508,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,11106854
20210509,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10621530
20210510,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,11622376
20210511,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10962953
20210512,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,11373836
20210513,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,11630501
20210514,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,12284172
20210515,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,13020819
20210516,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,11798147
20210517,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10904191
20210518,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10799374
20210519,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10809377
20210520,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10871862
20210521,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10828594
20210522,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10626621
20210523,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10042403
20210524,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10582465
20210525,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,11027387
20210526,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,11433113
20210527,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,11590420
20210528,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,11605742
20210529,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,11090603
20210530,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10483133
20210531,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,11233382
20210601,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,11228334
20210602,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,11683489
20210603,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,12102083
20210604,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10822946
20210605,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10714754
20210606,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10321406
20210607,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,11331239
20210608,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,12267689
20210609,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,13005357
20210610,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,12470962
20210611,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,12798673
20210612,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,12712703
20210613,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,11674028
20210614,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,10950641
20210615,区级数据,金华婺城分公司,国网浙江省电力有限公司金华供电公司,14142072
