rq,type,区县,市,sum
20210401,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32552402
20210402,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32137097
20210403,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30217603
20210404,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,28489768
20210405,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30377607
20210406,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,31430224
20210407,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32773180
20210408,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32844731
20210409,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32068049
20210410,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32006173
20210411,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32843936
20210412,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,33102268
20210413,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32549210
20210414,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,33090498
20210415,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32656220
20210416,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32441411
20210417,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32071508
20210418,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,31333180
20210419,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,31646234
20210420,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32122522
20210421,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32251408
20210422,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32803065
20210423,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,33093413
20210424,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32915737
20210425,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32489427
20210426,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32165538
20210427,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,33382351
20210428,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32867527
20210429,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32191782
20210430,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,31598520
20210501,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,25450265
20210502,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,26613426
20210503,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,29808733
20210504,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32282625
20210505,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,31611538
20210506,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32179663
20210507,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32453323
20210508,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,34215613
20210509,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,33226790
20210510,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,34586901
20210511,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,35281579
20210512,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,34940930
20210513,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,34301648
20210514,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,34948563
20210515,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,36336273
20210516,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,34644452
20210517,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32581727
20210518,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32913013
20210519,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32904072
20210520,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32383947
20210521,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32309533
20210522,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32463304
20210523,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32513219
20210524,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32038319
20210525,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32921595
20210526,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,33617223
20210527,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,33082353
20210528,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,33758413
20210529,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,33369460
20210530,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,33136712
20210531,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,33667871
20210601,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,33757667
20210602,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,34263290
20210603,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,34880031
20210604,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,33419814
20210605,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,33152371
20210606,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,33127972
20210607,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,34237645
20210608,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,35596667
20210609,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,37142134
20210610,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,37663818
20210611,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,37807210
20210612,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,37670293
20210613,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,36657990
20210614,区级数据,国网浙江桐乡市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,34376974
