rq,type,区县,市,sum
20210401,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,13708
20210402,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,14649
20210403,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,14736
20210404,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,15344
20210405,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,16292
20210406,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,15531
20210407,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,14996
20210408,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,15706
20210409,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,16469
20210410,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,17118
20210411,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,17301
20210412,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,15021
20210413,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,14902
20210414,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,16486
20210415,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,16231
20210416,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,17331
20210417,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,16148
20210418,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,15106
20210419,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,15479
20210420,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,16150
20210421,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,16551
20210422,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,15591
20210423,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,14129
20210424,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,17011
20210425,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,16013
20210426,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,16879
20210427,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,15494
20210428,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,16716
20210429,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,16373
20210430,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,17454
20210501,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,17343
20210502,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,19308
20210503,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,18509
20210504,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,25986
20210505,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,25820
20210506,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,24646
20210507,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,24933
20210508,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,26126
20210509,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,24281
20210510,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,29552
20210511,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,26356
20210512,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,26052
20210513,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,26759
20210514,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,29640
20210515,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,34827
20210516,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,29279
20210517,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,24739
20210518,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,24329
20210519,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,22693
20210520,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,22332
20210521,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,22597
20210522,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,21709
20210523,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,20720
20210524,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,21468
20210525,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,22677
20210526,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,24438
20210527,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,24957
20210528,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,25178
20210529,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,24448
20210530,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,24308
20210531,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,24850
20210601,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,23446
20210602,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,24056
20210603,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,25950
20210604,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,22176
20210605,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,21890
20210606,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,22016
20210607,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,24679
20210608,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,28301
20210609,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,29818
20210610,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,27489
20210611,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,28982
20210612,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,26841
20210613,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,25702
20210614,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,24723
20210615,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,28484
20210616,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,29651
20210617,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,36647
20210618,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,36017
20210619,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,32547
20210620,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,29558
20210621,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,28530
20210622,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,28866
20210623,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,30510
20210624,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,29394
20210625,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,30045
20210626,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,30502
20210627,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,27961
20210628,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,28102
20210629,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,28977
20210630,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,26802
20210701,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,28582
20210702,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,26273
20210703,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,29774
20210704,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,34027
20210705,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,37053
20210706,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,37643
20210707,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,37323
20210708,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,37664
20210709,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,35765
20210710,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,32687
20210711,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,33432
20210712,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,37063
20210713,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,37567
20210714,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,39447
20210715,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,38729
20210716,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,40536
20210717,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,36650
20210718,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,38979
20210719,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,37592
20210720,区级数据,金华横电配售电有限公司,国网浙江省电力有限公司金华供电公司,40724
