rq,type,区县,市,sum
20210401,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9223655
20210402,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9576655
20210403,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9444434
20210404,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,7519582
20210405,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9083178
20210406,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9482970
20210407,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9699658
20210408,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9924667
20210409,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9697768
20210410,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9661518
20210411,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9535317
20210412,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9758358
20210413,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9911739
20210414,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9943906
20210415,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9759461
20210416,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9555498
20210417,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9584225
20210418,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9167154
20210419,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9458546
20210420,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9553603
20210421,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9564513
20210422,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9659195
20210423,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9704568
20210424,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9644372
20210425,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9385384
20210426,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9607218
20210427,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9788364
20210428,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9672998
20210429,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,9528873
20210430,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,8661526
20210501,区级数据,国网浙江武义县供电有限公司,国网浙江省电力有限公司金华供电公司,4244096
