rq,type,区县,市,sum
20210401,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,17119520
20210402,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,17201906
20210403,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,17306150
20210404,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,13250658
20210405,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,16914863
20210406,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,17739996
20210407,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,18082438
20210408,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,18561481
20210409,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,18131579
20210410,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,17912588
20210411,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,17872485
20210412,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,18174674
20210413,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,18544803
20210414,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,18430305
20210415,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,17734491
20210416,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,17758104
20210417,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,17793011
20210418,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,17390718
20210419,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,17681954
20210420,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,17641990
20210421,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,17742747
20210422,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,17904524
20210423,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,18143948
20210424,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,17943759
20210425,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,17660431
20210426,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,17884454
20210427,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,18181518
20210428,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,18247885
20210429,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,17635416
20210430,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,16126131
20210501,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,7417713
20210502,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,9719800
20210503,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,14856580
20210504,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,17176404
20210505,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,17237011
20210506,区级数据,国网浙江永康市供电有限公司,国网浙江省电力有限公司金华供电公司,17636388
