rq,type,区县,市,sum
20210401,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,6262961
20210402,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7525739
20210403,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7802409
20210404,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,6566639
20210405,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7587100
20210406,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7749088
20210407,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7984574
20210408,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,8186782
20210409,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7857387
20210410,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7822949
20210411,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7917432
20210412,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7987276
20210413,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7995173
20210414,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,8066685
20210415,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7452636
20210416,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,6935991
20210417,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7623676
20210418,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7749035
20210419,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7763762
20210420,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7806223
20210421,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7821797
20210422,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7950967
20210423,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,8006397
20210424,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7924617
20210425,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7916700
20210426,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7914970
20210427,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,8124602
20210428,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,8050629
20210429,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7848555
20210430,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7507288
20210501,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,4289635
20210502,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,5512431
20210503,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7007779
20210504,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7666354
20210505,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7651043
20210506,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7523291
20210507,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7736576
20210508,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7925964
20210509,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7881123
20210510,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,8322467
20210511,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,8148272
20210512,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,8256965
20210513,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,8286132
20210514,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,8512506
20210515,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,8252788
20210516,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7530222
20210517,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7614660
20210518,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7889882
20210519,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7956278
20210520,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7892048
20210521,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7892555
20210522,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7918452
20210523,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7759654
20210524,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7867921
20210525,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,8053708
20210526,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7989686
20210527,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,8091674
20210528,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,8094387
20210529,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7979806
20210530,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7871081
20210531,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,7749532
20210601,区级数据,国网浙江浦江县供电公司,国网浙江省电力有限公司金华供电公司,6126819
