rq,type,区县,市,sum
20210401,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2057044
20210402,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2144226
20210403,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2019438
20210404,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,1594355
20210405,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,1949860
20210406,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2072093
20210407,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2139868
20210408,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2242559
20210409,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2138612
20210410,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2106114
20210411,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2138718
20210412,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2122694
20210413,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2171859
20210414,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2215123
20210415,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2159453
20210416,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2124373
20210417,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2041189
20210418,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2028768
20210419,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2054584
20210420,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2068888
20210421,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2064430
20210422,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2081845
20210423,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2084000
20210424,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2076706
20210425,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2051888
20210426,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2026467
20210427,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2072702
20210428,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2104423
20210429,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,1985359
20210430,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,1878274
20210501,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,1272424
20210502,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,1413719
20210503,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,1690688
20210504,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,1946711
20210505,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,1887357
20210506,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,1989900
20210507,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2063342
20210508,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2021037
20210509,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,1954290
20210510,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,1990763
20210511,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,1980735
20210512,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2065103
20210513,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2069364
20210514,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2092380
20210515,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2147035
20210516,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2064423
20210517,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2009538
20210518,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2048347
20210519,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2058318
20210520,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2021408
20210521,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2051807
20210522,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2040099
20210523,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,1985770
20210524,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,1994304
20210525,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2006564
20210526,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2061008
20210527,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2081329
20210528,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2106202
20210529,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2104088
20210530,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,2034096
20210531,区级数据,国网浙江省电力有限公司磐安县供电公司,国网浙江省电力有限公司金华供电公司,1922653
