rq,type,区县,市,sum
20210401,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,8485266
20210402,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,8815278
20210403,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,8520750
20210404,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,6486624
20210405,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,8061213
20210406,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,8716650
20210407,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,9037012
20210408,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,9420659
20210409,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,9077882
20210410,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,9015475
20210411,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,9005043
20210412,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,9190827
20210413,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,9313637
20210414,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,9367548
20210415,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,9097109
20210416,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,8903747
20210417,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,8903486
20210418,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,8549212
20210419,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,8831316
20210420,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,8896910
20210421,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,8960915
20210422,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,9110049
20210423,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,9111141
20210424,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,8980056
20210425,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,8886533
20210426,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,8924914
20210427,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,9087142
20210428,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,9158226
20210429,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,8845443
20210430,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,8354778
20210501,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,4950327
20210502,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,5803697
20210503,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,7642979
20210504,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,8654914
20210505,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,8671543
20210506,区级数据,金华金东分公司,国网浙江省电力有限公司金华供电公司,8914538
