rq,type,区县,市,sum
20210401,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,572904
20210402,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,588288
20210403,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,570942
20210404,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,471686
20210405,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,516842
20210406,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,572177
20210407,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,601492
20210408,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,573159
20210409,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,591074
20210410,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,578673
20210411,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,567111
20210412,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,541399
20210413,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,437315
20210414,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,414805
20210415,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,541762
20210416,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,552257
20210417,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,545362
20210418,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,599476
20210419,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,617707
20210420,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,623162
20210421,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,623238
20210422,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,643057
20210423,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,629846
20210424,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,635075
20210425,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,655174
20210426,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,604814
20210427,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,611296
20210428,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,595461
20210429,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,599170
20210430,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,590694
20210501,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,438488
20210502,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,459537
20210503,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,484312
20210504,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,570448
20210505,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,542220
20210506,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,541280
20210507,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,493861
20210508,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,514897
20210509,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,493813
20210510,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,497849
20210511,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,554124
20210512,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,565071
20210513,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,578855
20210514,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,535354
20210515,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,571643
20210516,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,562523
20210517,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,523648
20210518,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,565979
20210519,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,621499
20210520,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,610427
20210521,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,557677
20210522,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,582682
20210523,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,586491
20210524,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,549401
20210525,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,562392
20210526,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,568753
20210527,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,549028
20210528,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,548289
20210529,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,469813
20210530,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,469258
20210531,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,413697
20210601,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,491232
20210602,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,601428
20210603,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,623106
20210604,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,530398
20210605,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,544441
20210606,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,586905
20210607,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,600659
20210608,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,615208
20210609,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,618518
20210610,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,632647
20210611,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,602061
20210612,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,614379
20210613,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,621409
20210614,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,473956
20210615,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,560943
20210616,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,594714
20210617,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,504912
20210618,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,506469
20210619,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,486676
20210620,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,448987
20210621,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,462624
20210622,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,472450
20210623,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,537559
20210624,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,583537
20210625,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,605823
20210626,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,618644
20210627,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,629691
20210628,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,642328
20210629,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,613624
20210630,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,619455
20210701,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,620614
20210702,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,646911
20210703,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,596405
20210704,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,548898
20210705,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,594560
20210706,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,528297
20210707,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,494366
20210708,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,468781
20210709,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,493906
20210710,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,510339
20210711,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,543990
20210712,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,583026
20210713,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,570602
20210714,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,627952
20210715,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,658446
20210716,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,671466
20210717,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,658922
20210718,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,613621
20210719,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,577385
20210720,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,600633
20210721,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,594778
20210722,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,585068
20210723,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,598371
20210724,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,604283
20210725,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,459550
20210726,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,301196
20210727,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,387702
20210728,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,368631
20210729,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,408992
20210730,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,429394
20210731,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,426232
20210801,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,461832
20210802,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,477847
20210803,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,527975
20210804,区级数据,长广配售电公司,国网浙江省电力有限公司湖州供电公司,496339
