rq,type,区县,市,sum
20210401,区级数据,（空置）浙江金华电力局客服中心,国网浙江省电力有限公司金华供电公司,7778482
20210402,区级数据,（空置）浙江金华电力局客服中心,国网浙江省电力有限公司金华供电公司,7952923
20210403,区级数据,（空置）浙江金华电力局客服中心,国网浙江省电力有限公司金华供电公司,7876256
20210404,区级数据,（空置）浙江金华电力局客服中心,国网浙江省电力有限公司金华供电公司,7656267
20210405,区级数据,（空置）浙江金华电力局客服中心,国网浙江省电力有限公司金华供电公司,7777462
20210406,区级数据,（空置）浙江金华电力局客服中心,国网浙江省电力有限公司金华供电公司,7733808
20210407,区级数据,（空置）浙江金华电力局客服中心,国网浙江省电力有限公司金华供电公司,7886716
20210408,区级数据,（空置）浙江金华电力局客服中心,国网浙江省电力有限公司金华供电公司,7974242
20210409,区级数据,（空置）浙江金华电力局客服中心,国网浙江省电力有限公司金华供电公司,7705570
20210410,区级数据,（空置）浙江金华电力局客服中心,国网浙江省电力有限公司金华供电公司,7824556
20210411,区级数据,（空置）浙江金华电力局客服中心,国网浙江省电力有限公司金华供电公司,7816167
20210412,区级数据,（空置）浙江金华电力局客服中心,国网浙江省电力有限公司金华供电公司,7922855
20210413,区级数据,（空置）浙江金华电力局客服中心,国网浙江省电力有限公司金华供电公司,7826963
20210414,区级数据,（空置）浙江金华电力局客服中心,国网浙江省电力有限公司金华供电公司,7741300
20210415,区级数据,（空置）浙江金华电力局客服中心,国网浙江省电力有限公司金华供电公司,7722818
20210416,区级数据,（空置）浙江金华电力局客服中心,国网浙江省电力有限公司金华供电公司,7656105
20210417,区级数据,（空置）浙江金华电力局客服中心,国网浙江省电力有限公司金华供电公司,7795674
20210418,区级数据,（空置）浙江金华电力局客服中心,国网浙江省电力有限公司金华供电公司,7692557
20210419,区级数据,（空置）浙江金华电力局客服中心,国网浙江省电力有限公司金华供电公司,7730822
20210420,区级数据,（空置）浙江金华电力局客服中心,国网浙江省电力有限公司金华供电公司,7839414
20210421,区级数据,（空置）浙江金华电力局客服中心,国网浙江省电力有限公司金华供电公司,7809233
