rq,type,区县,市,sum,最高气温,最低气温,天气
20210401,市级数据,None,国网浙江省电力有限公司温州供电公司,154566125,25℃,17℃,阴
20210402,市级数据,None,国网浙江省电力有限公司温州供电公司,163992759,23℃,18℃,阴
20210403,市级数据,None,国网浙江省电力有限公司温州供电公司,158097961,23℃,15℃,中雨
20210404,市级数据,None,国网浙江省电力有限公司温州供电公司,121024683,22℃,11℃,晴
20210405,市级数据,None,国网浙江省电力有限公司温州供电公司,151818810,21℃,12℃,晴
20210406,市级数据,None,国网浙江省电力有限公司温州供电公司,164699766,21℃,12℃,多云
20210407,市级数据,None,国网浙江省电力有限公司温州供电公司,167091803,21℃,11℃,阴
20210408,市级数据,None,国网浙江省电力有限公司温州供电公司,134175303,13℃,12℃,阴
20210409,市级数据,None,国网浙江省电力有限公司温州供电公司,133553517,22℃,9℃,晴
20210410,市级数据,None,国网浙江省电力有限公司温州供电公司,150726137,22℃,15℃,阴到小雨
20210411,市级数据,None,国网浙江省电力有限公司温州供电公司,131057578,19℃,16℃,小雨
20210412,市级数据,None,国网浙江省电力有限公司温州供电公司,133128229,24℃,16℃,多云
20210413,市级数据,None,国网浙江省电力有限公司温州供电公司,133743775,17℃,14℃,阴
20210414,市级数据,None,国网浙江省电力有限公司温州供电公司,134215303,16℃,10℃,小雨
20210415,市级数据,None,国网浙江省电力有限公司温州供电公司,133957892,15℃,12℃,多云
20210416,市级数据,None,国网浙江省电力有限公司温州供电公司,129080246,23℃,15℃,小雨
20210417,市级数据,None,国网浙江省电力有限公司温州供电公司,129429105,28℃,14℃,阴
20210418,市级数据,None,国网浙江省电力有限公司温州供电公司,122645773,20℃,12℃,阴
20210419,市级数据,None,国网浙江省电力有限公司温州供电公司,164890946,22℃,12℃,多云
20210420,市级数据,None,国网浙江省电力有限公司温州供电公司,166594241,24℃,14℃,晴
20210421,市级数据,None,国网浙江省电力有限公司温州供电公司,166014837,26℃,15℃,多云
20210422,市级数据,None,国网浙江省电力有限公司温州供电公司,162799434,24℃,19℃,阴
20210423,市级数据,None,国网浙江省电力有限公司温州供电公司,166793206,27℃,19℃,阴
20210424,市级数据,None,国网浙江省电力有限公司温州供电公司,164205725,21℃,17℃,阴
20210425,市级数据,None,国网浙江省电力有限公司温州供电公司,158344481,26℃,13℃,阴
20210426,市级数据,None,国网浙江省电力有限公司温州供电公司,161651529,26℃,16℃,多云
20210427,市级数据,None,国网浙江省电力有限公司温州供电公司,163712557,18℃,16℃,小雨
