日期,最高气温,最低气温,天气,风向
2021-04-01 星期四 ,28℃,18℃,阴,西南风 1级
2021-04-02 星期五 ,25℃,16℃,阴,东风 1级
2021-04-03 星期六 ,24℃,11℃,小雨,东北风 2级
2021-04-04 星期日 ,18℃,7℃,晴,北风 2级
2021-04-05 星期一 ,20℃,10℃,阴,北风 1级
2021-04-06 星期二 ,23℃,9℃,阴,东风 1级
2021-04-07 星期三 ,21℃,11℃,小雨,东风 2级
2021-04-08 星期四 ,13℃,11℃,阴,东北风 1级
2021-04-09 星期五 ,21℃,6℃,晴,东北风 2级
2021-04-10 星期六 ,22℃,11℃,阴,东北风 2级
2021-04-11 星期日 ,19℃,14℃,阴到小雨,东南风 1级
2021-04-12 星期一 ,22℃,16℃,阴,西南风 1级
2021-04-13 星期二 ,17℃,12℃,阴,东北风 1级
2021-04-14 星期三 ,15℃,5℃,阴,东风 1级
2021-04-15 星期四 ,16℃,12℃,多云,东风 1级
2021-04-16 星期五 ,27℃,13℃,阴,东北风 1级
2021-04-17 星期六 ,28℃,11℃,阴,北风 2级
2021-04-18 星期日 ,22℃,10℃,阴,东风 2级
2021-04-19 星期一 ,25℃,11℃,多云,东南风 2级
2021-04-20 星期二 ,26℃,12℃,晴,东南风 2级
2021-04-21 星期三 ,27℃,14℃,晴,东南风 2级
2021-04-22 星期四 ,27℃,16℃,多云,东南风 2级
2021-04-23 星期五 ,24℃,18℃,多云,北风 2级
2021-04-24 星期六 ,21℃,18℃,阴,东风 2级
2021-04-25 星期日 ,24℃,15℃,阴,东风 2级
2021-04-26 星期一 ,20℃,15℃,多云,东南风 2级
2021-04-27 星期二 ,16℃,13℃,小雨,西南风 1级
2021-04-28 星期三 ,19℃,16℃,小雨,西北风 1级
2021-04-29 星期四 ,20℃,15℃,晴,西风 2级
2021-04-30 星期五 ,29℃,17℃,晴,西南风 2级
2021-05-01 星期六 ,28℃,15℃,晴,西风 2级
2021-05-02 星期日 ,27℃,13℃,多云,东风 2级
2021-05-03 星期一 ,27℃,19℃,小雨转阴,南风 2级
2021-05-04 星期二 ,26℃,19℃,小雨到中雨,西南风 2级
2021-05-05 星期三 ,25℃,13℃,晴,东北风 2级
2021-05-06 星期四 ,26℃,17℃,阴,东南风 1级
2021-05-07 星期五 ,29℃,19℃,阴转小雨,西南风 1级
2021-05-08 星期六 ,29℃,17℃,多云,西南风 2级
2021-05-09 星期日 ,34℃,18℃,晴,东南风 1级
2021-05-10 星期一 ,35℃,22℃,小雨到中雨,南风 1级
2021-05-11 星期二 ,22℃,16℃,多云,东北风 1级
2021-05-12 星期三 ,30℃,22℃,小雨到中雨,西南风 1级
2021-05-13 星期四 ,32℃,20℃,小雨到中雨,东南风 1级
2021-05-14 星期五 ,30℃,22℃,多云,南风 2级
2021-05-15 星期六 ,35℃,22℃,多云,南风 2级
2021-05-16 星期日 ,35℃,20℃,小雨到中雨,西南风 2级
2021-05-17 星期一 ,22℃,19℃,小雨,北风 1级
2021-05-18 星期二 ,23℃,19℃,小雨到中雨,东风 1级
2021-05-19 星期三 ,22℃,18℃,小雨,东南风 1级
2021-05-20 星期四 ,23℃,20℃,小雨,西南风 1级
2021-05-21 星期五 ,20℃,18℃,小雨到中雨,东风 1级
2021-05-22 星期六 ,19℃,14℃,小雨到大雨,东风 1级
2021-05-23 星期日 ,23℃,17℃,阴,南风 1级
2021-05-24 星期一 ,21℃,18℃,阴,北风 1级
2021-05-25 星期二 ,28℃,19℃,多云,南风 1级
2021-05-26 星期三 ,27℃,22℃,小雨,南风 2级
2021-05-27 星期四 ,25℃,19℃,阴,东南风 1级
2021-05-28 星期五 ,26℃,20℃,阴,西南风 2级
2021-05-29 星期六 ,27℃,19℃,阴转小雨,南风 1级
2021-05-30 星期日 ,29℃,19℃,多云,东南风 1级
2021-05-31 星期一 ,28℃,20℃,多云,东南风 2级
2021-06-01 星期二 ,24℃,21℃,阴转小雨,东南风 1级
2021-06-02 星期三 ,28℃,23℃,小雨,东南风 1级
2021-06-03 星期四 ,31℃,18℃,中雨到大雨,西风 1级
2021-06-04 星期五 ,19℃,18℃,阴,北风 1级
2021-06-05 星期六 ,29℃,17℃,晴,东风 1级
2021-06-06 星期日 ,32℃,16℃,晴,东南风 1级
2021-06-07 星期一 ,31℃,19℃,阴,东风 2级
2021-06-08 星期二 ,31℃,23℃,阴,东南风 1级
2021-06-09 星期三 ,32℃,23℃,多云,东南风 1级
2021-06-10 星期四 ,30℃,24℃,小雨到中雨,东南风 2级
2021-06-11 星期五 ,32℃,24℃,小雨,南风 1级
2021-06-12 星期六 ,30℃,24℃,小雨到中雨,东南风 1级
2021-06-13 星期日 ,28℃,24℃,阴,南风 1级
2021-06-14 星期一 ,34℃,24℃,阴,西风 1级
2021-06-15 星期二 ,36℃,25℃,阴,西风 2级
2021-06-16 星期三 ,34℃,24℃,晴,西风 2级
2021-06-17 星期四 ,37℃,26℃,阴,西风 1级
2021-06-18 星期五 ,34℃,24℃,阴,西风 1级
2021-06-19 星期六 ,32℃,23℃,小雨到中雨,东北风 1级
2021-06-20 星期日 ,23℃,21℃,阴,东风 1级
2021-06-21 星期一 ,22℃,20℃,小雨到中雨,东风 1级
2021-06-22 星期二 ,26℃,20℃,晴,东风 1级
2021-06-23 星期三 ,31℃,20℃,晴,东风 1级
2021-06-24 星期四 ,32℃,22℃,多云,东南风 2级
2021-06-25 星期五 ,32℃,22℃,阴,东风 2级
2021-06-26 星期六 ,32℃,24℃,阴,东南风 1级
2021-06-27 星期日 ,29℃,25℃,小雨到中雨,东风 1级
2021-06-28 星期一 ,31℃,24℃,晴,东北风 1级
2021-06-29 星期二 ,27℃,23℃,小雨,东风 1级
2021-06-30 星期三 ,26℃,24℃,小雨到中雨,东南风 1级
2021-07-01 星期四 ,29℃,24℃,小雨到中雨,西南风 1级
2021-07-02 星期五 ,30℃,25℃,阴,南风 1级
2021-07-03 星期六 ,35℃,25℃,阴,南风 2级
2021-07-04 星期日 ,36℃,26℃,阴,南风 2级
2021-07-05 星期一 ,36℃,25℃,晴,南风 2级
2021-07-06 星期二 ,32℃,25℃,阴,东南风 2级
2021-07-07 星期三 ,38℃,25℃,多云,南风 2级
2021-07-08 星期四 ,37℃,26℃,小雨,西南风 1级
2021-07-09 星期五 ,36℃,26℃,阴,西南风 1级
2021-07-10 星期六 ,33℃,25℃,小雨到中雨,东南风 1级
2021-07-11 星期日 ,37℃,26℃,多云,南风 1级
2021-07-12 星期一 ,37℃,26℃,晴,南风 2级
2021-07-13 星期二 ,35℃,26℃,多云,东南风 2级
2021-07-14 星期三 ,37℃,26℃,阴,南风 2级
2021-07-15 星期四 ,37℃,25℃,多云,东南风 2级
2021-07-16 星期五 ,36℃,25℃,晴,东南风 2级
2021-07-17 星期六 ,35℃,25℃,阴,东南风 2级
2021-07-18 星期日 ,32℃,25℃,阴,东南风 1级
2021-07-19 星期一 ,33℃,25℃,多云,东南风 2级
2021-07-20 星期二 ,32℃,25℃,阴,东风 2级
2021-07-21 星期三 ,34℃,25℃,阴,东北风 2级
2021-07-22 星期四 ,31℃,23℃,小雨,北风 2级
2021-07-23 星期五 ,28℃,23℃,小雨,东北风 2级
2021-07-24 星期六 ,30℃,24℃,小雨,西北风 2级
2021-07-25 星期日 ,29℃,24℃,小雨到中雨,西风 4级
2021-07-26 星期一 ,28℃,24℃,小雨到中雨,西南风 3级
2021-07-27 星期二 ,29℃,24℃,小雨,南风 2级
2021-07-28 星期三 ,33℃,25℃,多云,东南风 2级
2021-07-29 星期四 ,35℃,25℃,多云,南风 1级
2021-07-30 星期五 ,35℃,24℃,多云,东风 1级
2021-07-31 星期六 ,32℃,25℃,小雨到中雨,南风 1级
2021-08-01 星期日 ,33℃,23℃,小雨,东北风 1级
2021-08-02 星期一 ,34℃,24℃,多云,北风 1级
2021-08-03 星期二 ,30℃,24℃,小雨到大雨,东北风 2级
2021-08-04 星期三 ,29℃,25℃,小雨,东风 2级
2021-08-05 星期四 ,32℃,24℃,多云,东风 2级
2021-08-06 星期五 ,32℃,25℃,阴转小雨,东风 2级
2021-08-07 星期六 ,33℃,23℃,晴,东北风 2级
2021-08-08 星期日 ,33℃,22℃,晴,西北风 2级
2021-08-09 星期一 ,35℃,25℃,阴,东南风 1级
2021-08-10 星期二 ,33℃,24℃,小雨转多云,东南风 1级
2021-08-11 星期三 ,34℃,25℃,小雨到大雨,南风 1级
