日期,最高气温,最低气温,天气,风向
2021-04-01 星期四 ,19℃,14℃,阴,东北风 2级
2021-04-02 星期五 ,21℃,16℃,多云,西北风 2级
2021-04-03 星期六 ,18℃,9℃,多云,西北风 4级
2021-04-04 星期日 ,17℃,6℃,晴,北风 4级
2021-04-05 星期一 ,17℃,10℃,阴,东北风 3级
2021-04-06 星期二 ,18℃,10℃,阴,东风 2级
2021-04-07 星期三 ,15℃,10℃,阴,东风 3级
2021-04-08 星期四 ,16℃,7℃,多云,东风 2级
2021-04-09 星期五 ,17℃,7℃,晴,东风 3级
2021-04-10 星期六 ,18℃,13℃,阴,东风 3级
2021-04-11 星期日 ,16℃,15℃,小雨,东南风 3级
2021-04-12 星期一 ,16℃,14℃,多云,西风 2级
2021-04-13 星期二 ,21℃,11℃,多云,东北风 3级
2021-04-14 星期三 ,15℃,10℃,阴,东风 3级
2021-04-15 星期四 ,15℃,12℃,晴,东南风 3级
2021-04-16 星期五 ,25℃,13℃,阴,南风 2级
2021-04-17 星期六 ,22℃,10℃,阴,西北风 3级
2021-04-18 星期日 ,17℃,11℃,多云,东南风 3级
2021-04-19 星期一 ,18℃,13℃,晴,东南风 3级
2021-04-20 星期二 ,19℃,15℃,多云,东南风 5级
2021-04-21 星期三 ,20℃,16℃,晴,东南风 5级
2021-04-22 星期四 ,22℃,16℃,多云,东南风 3级
2021-04-23 星期五 ,23℃,16℃,阴,北风 3级
2021-04-24 星期六 ,18℃,16℃,阴,东风 3级
2021-04-25 星期日 ,22℃,15℃,多云,东风 3级
2021-04-26 星期一 ,20℃,16℃,多云,东风 4级
2021-04-27 星期二 ,20℃,14℃,阴,东南风 2级
2021-04-28 星期三 ,22℃,15℃,阴,东风 2级
2021-04-29 星期四 ,25℃,17℃,晴,西南风 3级
2021-04-30 星期五 ,29℃,19℃,多云,西南风 4级
2021-05-01 星期六 ,25℃,15℃,晴,西北风 3级
2021-05-02 星期日 ,21℃,15℃,多云,东风 4级
2021-05-03 星期一 ,24℃,18℃,阴,东南风 5级
2021-05-04 星期二 ,22℃,15℃,阴,西南风 4级
2021-05-05 星期三 ,23℃,16℃,多云,东南风 3级
2021-05-06 星期四 ,24℃,17℃,小雨,东南风 3级
2021-05-07 星期五 ,29℃,17℃,多云,西风 3级
2021-05-08 星期六 ,28℃,20℃,晴,南风 3级
2021-05-09 星期日 ,31℃,19℃,晴,东南风 3级
