市,rq,dl
国网浙江省电力有限公司舟山供电公司,20210401,57377329
国网浙江省电力有限公司湖州供电公司,20210401,90202744
国网浙江省电力有限公司绍兴供电公司,20210401,134338497
国网浙江省电力有限公司嘉兴供电公司,20210401,153086543
国网浙江省电力有限公司丽水供电公司,20210401,35375930
国网浙江省电力有限公司温州供电公司,20210401,154566125
国网浙江省电力有限公司衢州供电公司,20210401,51044156
国网浙江省电力有限公司金华供电公司,20210401,114597799
国网浙江省电力有限公司宁波供电公司,20210401,230878404
国网浙江省电力有限公司台州供电公司,20210401,101817977
国网浙江省电力有限公司杭州供电公司,20210401,210649800
国网浙江省电力有限公司舟山供电公司,20210402,52716296
国网浙江省电力有限公司湖州供电公司,20210402,90128434
国网浙江省电力有限公司绍兴供电公司,20210402,135656410
国网浙江省电力有限公司嘉兴供电公司,20210402,150831438
国网浙江省电力有限公司丽水供电公司,20210402,35784630
国网浙江省电力有限公司温州供电公司,20210402,163992759
国网浙江省电力有限公司衢州供电公司,20210402,51947640
国网浙江省电力有限公司金华供电公司,20210402,118743997
国网浙江省电力有限公司宁波供电公司,20210402,229011242
国网浙江省电力有限公司台州供电公司,20210402,104115493
国网浙江省电力有限公司杭州供电公司,20210402,209285341
国网浙江省电力有限公司舟山供电公司,20210403,50496876
国网浙江省电力有限公司湖州供电公司,20210403,86223529
国网浙江省电力有限公司绍兴供电公司,20210403,134297836
国网浙江省电力有限公司嘉兴供电公司,20210403,140642758
国网浙江省电力有限公司丽水供电公司,20210403,33377908
国网浙江省电力有限公司温州供电公司,20210403,158097961
国网浙江省电力有限公司衢州供电公司,20210403,50509970
国网浙江省电力有限公司金华供电公司,20210403,116379683
国网浙江省电力有限公司宁波供电公司,20210403,216262963
国网浙江省电力有限公司台州供电公司,20210403,99306786
国网浙江省电力有限公司杭州供电公司,20210403,196383771
国网浙江省电力有限公司舟山供电公司,20210404,50045635
国网浙江省电力有限公司湖州供电公司,20210404,72983102
国网浙江省电力有限公司绍兴供电公司,20210404,122163215
国网浙江省电力有限公司嘉兴供电公司,20210404,122958195
国网浙江省电力有限公司丽水供电公司,20210404,26850807
国网浙江省电力有限公司温州供电公司,20210404,121024683
国网浙江省电力有限公司衢州供电公司,20210404,46740896
国网浙江省电力有限公司金华供电公司,20210404,97292071
国网浙江省电力有限公司宁波供电公司,20210404,162934834
国网浙江省电力有限公司台州供电公司,20210404,70201381
国网浙江省电力有限公司杭州供电公司,20210404,177732862
国网浙江省电力有限公司舟山供电公司,20210405,50879588
国网浙江省电力有限公司湖州供电公司,20210405,82681772
国网浙江省电力有限公司绍兴供电公司,20210405,129975872
国网浙江省电力有限公司嘉兴供电公司,20210405,135865391
国网浙江省电力有限公司丽水供电公司,20210405,33926329
